,exp_type,experiment,frac_gene,gene,trial,growth_rate_hr
23,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,ahpF,1.0,0.967182112409226
24,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,ais,1.0,0.967182112409226
25,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,alaS,1.0,0.967182112409226
26,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,aldA,1.0,0.967182112409226
27,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,allR,1.0,0.967182112409226
28,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,alr,1.0,0.967182112409226
29,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,amiA,1.0,0.967182112409226
30,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,amn,1.0,0.967182112409226
31,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,apaH,1.0,0.967182112409226
32,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,aphA,1.0,0.967182112409226
33,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,apt,1.0,0.967182112409226
34,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,arcA,1.0,0.967182112409226
35,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,arcB,1.0,0.967182112409226
36,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,argA,1.0,0.967182112409226
37,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,argB,1.0,0.967182112409226
38,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,argC,1.0,0.967182112409226
39,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,argD,1.0,0.967182112409226
40,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,argE,1.0,0.967182112409226
41,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,argG,1.0,0.967182112409226
42,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,argH,1.0,0.967182112409226
43,A-lim,NCM3722_Glc_IPTG0,0.001563721657544960,argI,1.0,0.967182112409226
44,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,argS,1.0,0.967182112409226
45,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,argT,1.0,0.967182112409226
46,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,arnA,1.0,0.967182112409226
47,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,arnB,1.0,0.967182112409226
48,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,arnC,1.0,0.967182112409226
49,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,aroA,1.0,0.967182112409226
50,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,aroB,1.0,0.967182112409226
51,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,aroC,1.0,0.967182112409226
