measured_growth_rate_hr,nu_95th_lower,nu_95th_upper,nu_mean,nu_median,nu_sem,nu_std,source
1.934364224818452,3.033572,23.4521075,9.888377775000032,8.58278,0.08795851396489486,5.562984874655909,"Li et al., 2014"
1.5693898427772346,2.4799945,22.966690000000003,9.40697618750001,8.241855000000001,0.08725505187961227,5.518494025914617,"Li et al., 2014"
0.738700370046123,1.4064732500000001,22.557265,8.73563258749999,7.51887,0.09177596092925763,5.804421419741549,"Li et al., 2014"
0.66,1.2456695,22.143735,8.677759079250015,7.588045,0.091518408195354,5.788132354606774,"Schmidt et al., 2016"
0.5,1.0149697500000001,22.2841375,8.487262247750005,7.27436,0.09311987214445394,5.889417828002849,"Schmidt et al., 2016"
0.65,1.319975,22.1458275,8.595495269500008,7.47281,0.08978171121500562,5.6782939933380225,"Schmidt et al., 2016"
0.58,1.1423147500000002,22.790810000000004,8.460235691999985,7.17118,0.09351979625222887,5.9147112494384375,"Schmidt et al., 2016"
1.27,2.0773455000000003,23.3734775,9.187733367500012,7.9003049999999995,0.09160906840260943,5.793866209568176,"Schmidt et al., 2016"
1.9,2.90603925,23.381240000000002,9.670782320000006,8.508965,0.08768188744759951,5.545489477538843,"Schmidt et al., 2016"
0.55,1.1282990000000002,22.644487500000004,8.478146628749997,7.153325000000001,0.09375377580127034,5.92950941545584,"Schmidt et al., 2016"
0.63,1.24325925,22.280745,8.65880984324999,7.41144,0.09199918440183054,5.8185393117523985,"Schmidt et al., 2016"
0.55,1.100178,23.162155,8.467318850749988,7.14312,0.09371773129018486,5.927229760412294,"Schmidt et al., 2016"
0.5503561798423366,1.1523342500000002,22.448267500000004,8.582664487749998,7.42087,0.09193767575176497,5.814649163152209,"Dai et al., 2016"
0.6727865579409387,1.2539040000000001,22.782422500000003,8.622363075500015,7.45548,0.0925425632565653,5.852905608019111,"Dai et al., 2016"
0.6864152519843529,1.2845090000000001,23.1273925,8.620056857499986,7.418094999999999,0.09294275186518837,5.878215757957163,"Dai et al., 2016"
0.7000547968988209,1.277813,22.782025000000004,8.690888015249987,7.465540000000001,0.09256004149804654,5.854011029070614,"Dai et al., 2016"
0.7170798135820351,1.2885480000000002,23.050090000000008,8.66457104950001,7.3068349999999995,0.09440885810524556,5.970940458164489,"Dai et al., 2016"
0.7441961403451659,1.3261835000000002,22.606865000000003,8.741092052749982,7.50629,0.09269699467632282,5.8626727085936565,"Dai et al., 2016"
0.91778837546184,1.64448425,22.25684500000001,9.004376104249987,7.874375000000001,0.09098404401460075,5.75433619638297,"Dai et al., 2016"
0.9448830004828636,1.6588942500000001,23.258807500000003,9.000871649750005,7.705935,0.09265284588047307,5.859880493576877,"Dai et al., 2016"
0.9926268331190284,1.70364225,22.712137500000004,9.062470099999999,7.907955,0.09171555573917278,5.800601060078278,"Dai et al., 2016"
