time_hr,promoter_activity,medium,,,,
1.1160384331116000,-21.72073754230410,0.22 mM Glucose,,,,
1.219512195121950,164.852958338196,0.22 mM Glucose,,,,
1.3968957871396900,143.21488310576800,0.22 mM Glucose,,,,
1.6038433111603800,209.34473100711800,0.22 mM Glucose,,,,
1.8255728011825600,231.6392422297420,0.22 mM Glucose,,,,
1.9438285291943800,352.44777687011300,0.22 mM Glucose,,,,
2.091648189209170,297.86633990741800,0.22 mM Glucose,,,,
2.2246858832224700,418.6991869918700,0.22 mM Glucose,,,,
2.402069475240210,429.9558486015480,0.22 mM Glucose,,,,
2.5055432372505500,484.9505971136260,0.22 mM Glucose,,,,
2.6681448632668100,485.2180339985210,0.22 mM Glucose,,,,
2.7864005912786400,507.34235811257600,0.22 mM Glucose,,,,
3.052475979305250,781.9027891235850,0.22 mM Glucose,,,,
3.495934959349590,1659.825144902170,0.22 mM Glucose,,,,
3.658536585365850,1451.7592484537300,0.22 mM Glucose,,,,
3.93939393939394,432.48434278601100,0.22 mM Glucose,,,,
4.042867701404290,246.25102112265100,0.22 mM Glucose,,,,
4.323725055432370,93.2041856303731,0.22 mM Glucose,,,,
4.619364375461940,115.62025907340400,0.22 mM Glucose,,,,
4.915003695491500,83.21177111292580,0.22 mM Glucose,,,,
5.033259423503330,17.61679698136600,0.22 mM Glucose,,,,
5.2254249815225400,6.9679464737228000,0.22 mM Glucose,,,,
5.4619364375461900,117.00606838604200,0.22 mM Glucose,,,,
5.609756097560980,106.28428054615400,0.22 mM Glucose,,,,
5.6984478935698500,18.710856965028100,0.22 mM Glucose,,,,
6.31929046563193,8.767067335744290,0.22 mM Glucose,,,,
8.329637841832960,12.073559730812100,0.22 mM Glucose,,,,
8.433111603843310,67.06830824289050,0.22 mM Glucose,,,,
8.566149297856620,89.21694480102630,0.22 mM Glucose,,,,
8.713968957871400,12.70568327692760,0.22 mM Glucose,,,,
9.482631189948270,3.0050180884582000,0.22 mM Glucose,,,,
9.571322985957130,47.010541875753000,0.22 mM Glucose,,,,
9.719142645971920,3.3940171937601900,0.22 mM Glucose,,,,
