phi_X,growth_rate_hr,relative_growth_rate,source,protein,medium,notes
0.027341884613249,1.785024154589370,1.02213001383126,"Scott et al., 2010",β-galactosidase,RDM + Glucose,"Digitized from Fig. 4 of Scott et al., 2010"
0.0100061080570826,1.7028985507246400,0.9751037344398370,"Scott et al., 2010",β-galactosidase,RDM + Glucose,"Digitized from Fig. 4 of Scott et al., 2010"
0.043128435782109,1.5193236714975800,0.8699861687413540,"Scott et al., 2010",β-galactosidase,RDM + Glucose,"Digitized from Fig. 4 of Scott et al., 2010"
0.121972347159753,1.1135265700483100,0.6376210235131410,"Scott et al., 2010",β-galactosidase,RDM + Glucose,"Digitized from Fig. 4 of Scott et al., 2010"
0.140329835082459,1.0845410628019300,0.6210235131396950,"Scott et al., 2010",β-galactosidase,RDM + Glucose,"Digitized from Fig. 4 of Scott et al., 2010"
0.172397134765950,0.9830917874396140,0.5629322268326430,"Scott et al., 2010",β-galactosidase,RDM + Glucose,"Digitized from Fig. 4 of Scott et al., 2010"
0.18026542284413,0.8285024154589370,0.4744121715076080,"Scott et al., 2010",β-galactosidase,RDM + Glucose,"Digitized from Fig. 4 of Scott et al., 2010"
0.205536120828475,0.8140096618357490,0.4661134163208860,"Scott et al., 2010",β-galactosidase,RDM + Glucose,"Digitized from Fig. 4 of Scott et al., 2010"
0.249108778943861,0.7222222222222220,0.4135546334716460,"Scott et al., 2010",β-galactosidase,RDM + Glucose,"Digitized from Fig. 4 of Scott et al., 2010"
0.262818590704648,0.6497584541062800,0.3720608575380360,"Scott et al., 2010",β-galactosidase,RDM + Glucose,"Digitized from Fig. 4 of Scott et al., 2010"
0.192675884280082,0.6256038647343000,0.3582295988935000,"Scott et al., 2010",β-galactosidase,RDM + Glucose,"Digitized from Fig. 4 of Scott et al., 2010"
0.0102504303403854,0.9154589371980680,1.0000000000000000,"Scott et al., 2010",β-galactosidase,cAA + Glucose,"Digitized from Fig. 4 of Scott et al., 2010"
0.0308401354878117,0.8285024154589370,0.9050131926121370,"Scott et al., 2010",β-galactosidase,cAA + Glucose,"Digitized from Fig. 4 of Scott et al., 2010"
0.046920983952468,0.8188405797101450,0.8944591029023740,"Scott et al., 2010",β-galactosidase,cAA + Glucose,"Digitized from Fig. 4 of Scott et al., 2010"
0.187906046976512,0.47584541062801900,0.519788918205804,"Scott et al., 2010",β-galactosidase,cAA + Glucose,"Digitized from Fig. 4 of Scott et al., 2010"
0.198073185629408,0.3212560386473430,0.3509234828496040,"Scott et al., 2010",β-galactosidase,cAA + Glucose,"Digitized from Fig. 4 of Scott et al., 2010"
0.266960963962463,0.25362318840579700,0.277044854881266,"Scott et al., 2010",β-galactosidase,cAA + Glucose,"Digitized from Fig. 4 of Scott et al., 2010"
0.32092287189739,0.20048309178744000,0.218997361477573,"Scott et al., 2010",β-galactosidase,cAA + Glucose,"Digitized from Fig. 4 of Scott et al., 2010"
0.0110722416569493,0.630434782608696,1.000000000000000,"Scott et al., 2010",β-galactosidase,M63 + Glucose,"Digitized from Fig. 4 of Scott et al., 2010"
0.011005608306958,0.5724637681159420,0.908045977011494,"Scott et al., 2010",β-galactosidase,M63 + Glucose,"Digitized from Fig. 4 of Scott et al., 2010"
0.042056749403076,0.5869565217391310,0.931034482758621,"Scott et al., 2010",β-galactosidase,M63 + Glucose,"Digitized from Fig. 4 of Scott et al., 2010"
0.074174024099062,0.5289855072463770,0.839080459770115,"Scott et al., 2010",β-galactosidase,M63 + Glucose,"Digitized from Fig. 4 of Scott et al., 2010"
0.101604753178966,0.3937198067632850,0.624521072796934,"Scott et al., 2010",β-galactosidase,M63 + Glucose,"Digitized from Fig. 4 of Scott et al., 2010"
