gene,counts,phase,time,fraction,cog_letter,sector
alaE,14,shift,5.0,3.093375073274322e-06,S,other
alaS,3160,shift,5.0,0.0006982189451104,J,ribosomal
aldA,97615,shift,5.0,0.0215685576984052,C,metabolic
aldB,2502,shift,5.0,0.0005528303166665,C,metabolic
alkA,100,shift,5.0,2.209553623767373e-05,L,other
alkB,13,shift,5.0,2.8724197108975847e-06,L,other
allA,3328,shift,5.0,0.0007353394459897,F,metabolic
allB,510,shift,5.0,0.0001126872348121,F,metabolic
allC,120,shift,5.0,2.6514643485208475e-05,E,metabolic
allD,11,shift,5.0,2.43050898614411e-06,C,metabolic
allE,152,shift,5.0,3.358521508126407e-05,S,other
allR,5538,shift,5.0,0.0012236507968423,K,other
allS,290,shift,5.0,6.407705508925381e-05,K,other
alpA,2,shift,5.0,4.419107247534746e-07,K,other
alr,128,shift,5.0,2.828228638422237e-05,M,other
alsA,20,shift,5.0,4.419107247534746e-06,G,metabolic
alsB,87,shift,5.0,1.9223116526776145e-05,G,metabolic
alsC,20,shift,5.0,4.419107247534746e-06,G,metabolic
alsE,63,shift,5.0,1.392018782973445e-05,G,metabolic
alsK,90,shift,5.0,1.988598261390636e-05,K,other
alx,46,shift,5.0,1.0163946669329916e-05,P,metabolic
amiA,188,shift,5.0,4.153960812682661e-05,M,other
amiB,452,shift,5.0,9.987182379428524e-05,M,other
amiC,2478,shift,5.0,0.0005475273879695,M,other
amiD,820,shift,5.0,0.0001811833971489,M,other
amn,664,shift,5.0,0.0001467143606181,F,metabolic
ampC,20,shift,5.0,4.419107247534746e-06,V,other
ampD,390,shift,5.0,8.617259132692754e-05,M,other
ampE,483,shift,5.0,0.0001067214400279,V,other
ampG,22,shift,5.0,4.86101797228822e-06,P,metabolic
ampH,226,shift,5.0,4.9935911897142624e-05,V,other
amtB,144,shift,5.0,3.181757218225017e-05,P,metabolic
amyA,5515,shift,5.0,0.0012185688235077,G,metabolic
anmK,723,shift,5.0,0.0001597507269983,M,other
ansA,127,shift,5.0,2.806133102184564e-05,J,ribosomal
ansB,382,shift,5.0,8.440494842791364e-05,J,ribosomal
ansP,78,shift,5.0,1.7234518265385507e-05,E,metabolic
apaG,298,shift,5.0,6.584469798826772e-05,P,metabolic
apaH,122,shift,5.0,2.695655420996195e-05,T,other
aphA,542,shift,5.0,0.0001197578064081,P,metabolic
appA,143,shift,5.0,3.159661681987343e-05,S,other
appB,26,shift,5.0,5.744839421795169e-06,C,metabolic
appC,41,shift,5.0,9.05916985744623e-06,C,metabolic
appX,24,shift,5.0,5.302928697041695e-06,S,other
appY,12,shift,5.0,2.6514643485208475e-06,K,other
apt,49,shift,5.0,1.0826812756460126e-05,F,metabolic
aqpZ,248,shift,5.0,5.4796929869430846e-05,G,metabolic
araA,190,shift,5.0,4.1981518851580085e-05,G,metabolic
araB,66,shift,5.0,1.4583053916864662e-05,G,metabolic
araC,1788,shift,5.0,0.0003950681879296,R,other
araD,25,shift,5.0,5.523884059418432e-06,G,metabolic
araE,227,shift,5.0,5.0156867259519366e-05,G,metabolic
araF,1341,shift,5.0,0.0002963011409472,G,metabolic
araG,960,shift,5.0,0.0002121171478816,G,metabolic
araH,763,shift,5.0,0.0001685889414934,G,metabolic
araJ,155,shift,5.0,3.424808116839428e-05,G,metabolic
arcA,17846,shift,5.0,0.0039431693969752,T,other
arcB,1249,shift,5.0,0.0002759732476085,T,other
arfA,321,shift,5.0,7.092667132293267e-05,J,ribosomal
arfB,96,shift,5.0,2.121171478816678e-05,J,ribosomal
argA,156,shift,5.0,3.4469036530771014e-05,E,metabolic
argB,213,shift,5.0,4.706349218624504e-05,E,metabolic
argC,18,shift,5.0,3.977196522781272e-06,E,metabolic
argD,79,shift,5.0,1.7455473627762245e-05,E,metabolic
