gene,counts,phase,time,fraction,cog_letter,sector
narH,542,shift,15.0,2.737693826323633e-05,C,metabolic
narI,337,shift,15.0,1.702219224116355e-05,C,metabolic
narJ,162,shift,15.0,8.18277490524776e-06,C,metabolic
narK,958,shift,15.0,4.83894960446133e-05,P,metabolic
narL,2231,shift,15.0,0.0001126899432938,T,other
narP,2170,shift,15.0,0.0001096087749653,T,other
narQ,752,shift,15.0,3.798423906633528e-05,T,other
narU,799,shift,15.0,4.035825400798124e-05,P,metabolic
narV,360,shift,15.0,1.818394423388391e-05,C,metabolic
narW,276,shift,15.0,1.3941023912644332e-05,C,metabolic
narX,2329,shift,15.0,0.0001176400170019,T,other
narY,559,shift,15.0,2.823562451872529e-05,C,metabolic
narZ,1715,shift,15.0,8.662628989197474e-05,C,metabolic
ndh,921,shift,15.0,4.652059066501967e-05,C,metabolic
ndk,1248,shift,15.0,6.303767334413089e-05,F,metabolic
nei,265,shift,15.0,1.3385403394386769e-05,L,other
nemA,969,shift,15.0,4.894511656287086e-05,C,metabolic
nemR,288,shift,15.0,1.4547155387107129e-05,K,other
nepI,46,shift,15.0,2.323503985440722e-06,G,metabolic
nfi,400,shift,15.0,2.0204382482093237e-05,L,other
nfo,1512,shift,15.0,7.637256578231243e-05,L,other
nfrA,610,shift,15.0,3.081168328519218e-05,R,other
nfrB,415,shift,15.0,2.096204682517173e-05,N,other
nfsA,731,shift,15.0,3.692350898602538e-05,C,metabolic
nfsB,1459,shift,15.0,7.369548510343507e-05,C,metabolic
nfuA,4598,shift,15.0,0.0002322493766316,O,other
nhaA,4586,shift,15.0,0.0002316432451571,C,metabolic
nhaB,1036,shift,15.0,5.232935062862148e-05,C,metabolic
nhaR,1395,shift,15.0,7.046278390630016e-05,K,other
nhoA,108,shift,15.0,5.4551832701651735e-06,Q,other
nikA,643,shift,15.0,3.2478544839964875e-05,E,metabolic
nikB,81,shift,15.0,4.09138745262388e-06,E,metabolic
nikC,36,shift,15.0,1.818394423388391e-06,E,metabolic
nikD,28,shift,15.0,1.4143067737465264e-06,E,metabolic
nikE,50,shift,15.0,2.525547810261654e-06,E,metabolic
nikR,576,shift,15.0,2.9094310774214258e-05,K,other
nimR,398,shift,15.0,2.0103360569682768e-05,R,other
nimT,170,shift,15.0,8.586862554889625e-06,P,metabolic
ninE,6,shift,15.0,3.030657372313985e-07,S,other
nirB,445,shift,15.0,2.247737551132872e-05,C,metabolic
nirC,76,shift,15.0,3.838832671597715e-06,P,metabolic
nirD,53,shift,15.0,2.677080678877353e-06,P,metabolic
nlpA,2898,shift,15.0,0.0001463807510827,P,metabolic
nlpC,5423,shift,15.0,0.0002739209155009,M,other
nlpD,49748,shift,15.0,0.0025128190492979,M,other
nlpE,1726,shift,15.0,8.718191041023231e-05,M,other
nlpI,12732,shift,15.0,0.000643105494405,M,other
nmpC,286318,shift,15.0,0.0144621959587699,S,other
nohA,22,shift,15.0,1.111241036515128e-06,S,other
nohB,52,shift,15.0,2.6265697226721207e-06,X,other
norR,611,shift,15.0,3.086219424139742e-05,T,other
norV,265,shift,15.0,1.3385403394386769e-05,C,metabolic
norW,92,shift,15.0,4.647007970881444e-06,I,other
npr,443,shift,15.0,2.2376353598918257e-05,T,other
nrdA,4054,shift,15.0,0.000204771416456,F,metabolic
nrdB,2862,shift,15.0,0.0001445623566593,F,metabolic
nrdD,9876,shift,15.0,0.0004988462034828,K,other
nrdE,937,shift,15.0,4.73287659643034e-05,F,metabolic
nrdF,561,shift,15.0,2.833664643113576e-05,F,metabolic
nrdG,465,shift,15.0,2.3487594635433386e-05,R,other
nrdH,590,shift,15.0,2.980146416108752e-05,O,other
nrdI,386,shift,15.0,1.949722909521997e-05,F,metabolic
nrdR,1125,shift,15.0,5.682482573088722e-05,K,other
nrfA,294,shift,15.0,1.4850221124338527e-05,P,metabolic
nrfB,42,shift,15.0,2.121460160619789e-06,P,metabolic
nrfC,41,shift,15.0,2.0709492044145567e-06,C,metabolic
nrfD,52,shift,15.0,2.6265697226721207e-06,P,metabolic
nrfE,85,shift,15.0,4.293431277444813e-06,C,metabolic
nrfF,16,shift,15.0,8.081752992837294e-07,C,metabolic
nrfG,55,shift,15.0,2.77810259128782e-06,C,metabolic
nsrR,1517,shift,15.0,7.662512056333859e-05,K,other
nth,72,shift,15.0,3.636788846776782e-06,L,other
nudB,1267,shift,15.0,6.399738151203032e-05,V,other
nudC,1239,shift,15.0,6.258307473828379e-05,F,metabolic
nudE,3345,shift,15.0,0.0001689591485065,V,other
nudF,2215,shift,15.0,0.0001118817679945,V,other
nudG,125,shift,15.0,6.313869525654136e-06,V,other
nudI,326,shift,15.0,1.6466571722905988e-05,V,other
nudJ,214,shift,15.0,1.080934462791988e-05,F,metabolic
nudK,920,shift,15.0,4.647007970881444e-05,V,other
nudL,566,shift,15.0,2.858920121216193e-05,S,other
nuoA,10426,shift,15.0,0.0005266272293957,C,metabolic
nuoB,13260,shift,15.0,0.0006697752792813,C,metabolic
nuoC,12536,shift,15.0,0.0006332053469888,C,metabolic
nuoE,3111,shift,15.0,0.0001571395847544,C,metabolic
nuoF,5295,shift,15.0,0.0002674555131067,C,metabolic
nuoG,9505,shift,15.0,0.0004801066387307,C,metabolic
nuoH,3670,shift,15.0,0.0001853752092732,C,metabolic
nuoI,1594,shift,15.0,8.051446419114153e-05,C,metabolic
nuoJ,2495,shift,15.0,0.000126024835732,C,metabolic
nuoK,600,shift,15.0,3.030657372313985e-05,C,metabolic
nuoL,5138,shift,15.0,0.0002595252929824,C,metabolic
nuoM,1611,shift,15.0,8.13731504466305e-05,C,metabolic
nuoN,2536,shift,15.0,0.0001280957849364,C,metabolic
nupC,1919,shift,15.0,9.693052495784227e-05,F,metabolic
nupG,5074,shift,15.0,0.0002562925917853,S,other
nupX,92,shift,15.0,4.647007970881444e-06,F,metabolic
nusA,5071,shift,15.0,0.0002561410589167,K,other
nusB,970,shift,15.0,4.899562751907609e-05,K,other
nusG,4374,shift,15.0,0.0002209349224416,K,other
obgE,1252,shift,15.0,6.323971716895182e-05,D,other
ogrK,680,shift,15.0,3.43474502195585e-05,S,other
ogt,335,shift,15.0,1.6921170328753085e-05,L,other
ompA,363754,shift,15.0,0.0183735623634783,M,other
ompC,38817,shift,15.0,0.0019606837870185,M,other
ompF,188400,shift,15.0,0.0095162641490659,M,other
ompG,49,shift,15.0,2.4750368540564214e-06,S,other
ompL,24,shift,15.0,1.212262948925594e-06,S,other
ompN,204,shift,15.0,1.030423506586755e-05,M,other
ompR,21111,shift,15.0,0.0010663367964486,T,other
ompT,26133,shift,15.0,0.0013200028185113,M,other
ompW,5297,shift,15.0,0.0002675565350191,M,other
ompX,17094,shift,15.0,0.0008634342853722,M,other
opgB,954,shift,15.0,4.8187452219792366e-05,M,other
opgC,181,shift,15.0,9.142483073147188e-06,M,other
opgD,3177,shift,15.0,0.000160473307864,M,other
opgE,442,shift,15.0,2.2325842642713026e-05,M,other
opgG,1746,shift,15.0,8.819212953433696e-05,M,other
opgH,1022,shift,15.0,5.162219724174821e-05,M,other
oppA,13040,shift,15.0,0.0006586628689162,E,metabolic
oppB,460,shift,15.0,2.323503985440722e-05,E,metabolic
oppC,674,shift,15.0,3.40443844823271e-05,E,metabolic
oppD,914,shift,15.0,4.616701397158304e-05,E,metabolic
oppF,1456,shift,15.0,7.354395223481937e-05,E,metabolic
orn,1152,shift,15.0,5.818862154842852e-05,A,other
ortT,144,shift,15.0,7.273577693553564e-06,S,other
osmB,2369,shift,15.0,0.0001196604552501,S,other
osmC,25852,shift,15.0,0.0013058092398176,V,other
osmE,52382,shift,15.0,0.0026458649079425,M,other
osmF,3946,shift,15.0,0.0001993162331858,M,other
osmY,4217,shift,15.0,0.0002130047023174,S,other
otsA,10734,shift,15.0,0.0005421846039069,G,metabolic
otsB,4771,shift,15.0,0.0002409877720551,G,metabolic
oxc,146,shift,15.0,7.374599605964031e-06,E,metabolic
oxyR,2459,shift,15.0,0.0001242064413086,K,other
paaA,270,shift,15.0,1.3637958175412931e-05,Q,other
paaB,84,shift,15.0,4.242920321239579e-06,Q,other
paaC,183,shift,15.0,9.243504985557655e-06,Q,other
paaD,108,shift,15.0,5.4551832701651735e-06,O,other
paaE,168,shift,15.0,8.485840642479158e-06,C,metabolic
paaF,63,shift,15.0,3.1821902409296843e-06,I,other
paaG,50,shift,15.0,2.525547810261654e-06,I,other
paaH,119,shift,15.0,6.010803788422737e-06,I,other
paaI,44,shift,15.0,2.222482073030256e-06,Q,other
paaJ,2114,shift,15.0,0.0001067801614178,I,other
paaK,3019,shift,15.0,0.0001524925767835,H,metabolic
paaX,1914,shift,15.0,9.667797017681612e-05,K,other
paaY,2368,shift,15.0,0.0001196099442939,R,other
paaZ,102,shift,15.0,5.152117532933775e-06,C,metabolic
pabA,605,shift,15.0,3.055912850416602e-05,E,metabolic
pabB,262,shift,15.0,1.3233870525771069e-05,E,metabolic
pabC,913,shift,15.0,4.611650301537781e-05,E,metabolic
pagP,98,shift,15.0,4.950073708112843e-06,S,other
pal,10502,shift,15.0,0.0005304660620673,M,other
panB,2251,shift,15.0,0.0001137001624179,H,metabolic
panC,3213,shift,15.0,0.0001622917022874,H,metabolic
panD,4322,shift,15.0,0.000218308352719,H,metabolic
panE,2003,shift,15.0,0.000101173445279,H,metabolic
panF,272,shift,15.0,1.37389800878234e-05,H,metabolic
panZ,196,shift,15.0,9.900147416225686e-06,J,ribosomal
paoA,287,shift,15.0,1.4496644430901896e-05,C,metabolic
paoB,173,shift,15.0,8.738395423505324e-06,C,metabolic
paoC,245,shift,15.0,1.2375184270282106e-05,C,metabolic
paoD,151,shift,15.0,7.627154386990196e-06,O,other
parC,1795,shift,15.0,9.06671663883934e-05,L,other
parE,1645,shift,15.0,8.309052295760843e-05,L,other
patA,24070,shift,15.0,0.0012157987158599,E,metabolic
patD,13277,shift,15.0,0.0006706339655368,C,metabolic
patZ,13234,shift,15.0,0.00066846199442,C,metabolic
pbl,3,shift,15.0,1.5153286861569928e-07,S,other
pbpC,179,shift,15.0,9.041461160736722e-06,M,other
pbpG,1171,shift,15.0,5.914832971632795e-05,M,other
pck,66854,shift,15.0,0.0033768594661446,C,metabolic
pcm,2102,shift,15.0,0.0001061740299433,O,other
pcnB,2203,shift,15.0,0.0001112756365201,J,ribosomal
pdeA,736,shift,15.0,3.717606376705155e-05,T,other
pdeB,1400,shift,15.0,7.071533868732632e-05,T,other
pdeC,1253,shift,15.0,6.329022812515706e-05,T,other
pdeD,1122,shift,15.0,5.667329286227152e-05,T,other
pdeF,256,shift,15.0,1.293080478853967e-05,T,other
pdeG,155,shift,15.0,7.829198211811128e-06,T,other
pdeH,20456,shift,15.0,0.0010332521201342,T,other
pdeI,37,shift,15.0,1.868905379593624e-06,T,other
pdeK,1744,shift,15.0,8.80911076219265e-05,T,other
pdeL,1283,shift,15.0,6.480555681131404e-05,T,other
pdeN,495,shift,15.0,2.5002923321590377e-05,T,other
pdeR,11663,shift,15.0,0.0005891092822216,T,other
pdhR,762,shift,15.0,3.848934862838761e-05,K,other
pdxA,654,shift,15.0,3.303416535822244e-05,H,metabolic
pdxB,1353,shift,15.0,6.834132374568037e-05,H,metabolic
pdxH,715,shift,15.0,3.611533368674166e-05,H,metabolic
pdxJ,2218,shift,15.0,0.0001120333008632,H,metabolic
pdxK,1589,shift,15.0,8.026190941011538e-05,H,metabolic
pdxY,242,shift,15.0,1.2223651401666409e-05,H,metabolic
pepA,9819,shift,15.0,0.0004959670789791,E,metabolic
pepB,789,shift,15.0,3.98531444459289e-05,E,metabolic
pepD,4633,shift,15.0,0.0002340172600988,E,metabolic
pepE,1529,shift,15.0,7.723125203780139e-05,E,metabolic
pepN,28605,shift,15.0,0.0014448659022506,E,metabolic
pepP,4879,shift,15.0,0.0002464429553253,E,metabolic
pepQ,6102,shift,15.0,0.0003082178547643,E,metabolic
pepT,9346,shift,15.0,0.0004720753966941,E,metabolic
perR,161,shift,15.0,8.132263949042527e-06,K,other
pfkA,12132,shift,15.0,0.0006127989206818,G,metabolic
pfkB,2167,shift,15.0,0.0001094572420967,G,metabolic
pflA,2974,shift,15.0,0.0001502195837543,O,other
pflB,33447,shift,15.0,0.0016894399521964,C,metabolic
pflC,101,shift,15.0,5.101606576728542e-06,O,other
pflD,441,shift,15.0,2.227533168650779e-05,C,metabolic
pgaA,691,shift,15.0,3.4903070737816064e-05,R,other
pgaB,183,shift,15.0,9.243504985557655e-06,G,metabolic
pgaC,200,shift,15.0,1.0102191241046617e-05,N,other
pgaD,450,shift,15.0,2.2729930292354888e-05,S,other
pgi,5316,shift,15.0,0.000268516243187,G,metabolic
pgk,10924,shift,15.0,0.0005517816855859,G,metabolic
pgl,6220,shift,15.0,0.0003141781475965,G,metabolic
pgm,6362,shift,15.0,0.0003213507033776,G,metabolic
pgpA,923,shift,15.0,4.662161257743014e-05,I,other
pgpB,1775,shift,15.0,8.965694726428873e-05,I,other
pgpC,1344,shift,15.0,6.788672513983326e-05,E,metabolic
pgrR,853,shift,15.0,4.308584564306383e-05,K,other
pgsA,1321,shift,15.0,6.672497314711291e-05,I,other
pheA,1466,shift,15.0,7.40490617968717e-05,E,metabolic
pheL,100,shift,15.0,5.051095620523308e-06,S,other
pheM,45,shift,15.0,2.272993029235489e-06,S,other
pheP,488,shift,15.0,2.4649346628153746e-05,E,metabolic
pheS,1329,shift,15.0,6.712906079675477e-05,J,ribosomal
pheT,24556,shift,15.0,0.0012403470405757,J,ribosomal
phnC,4,shift,15.0,2.0204382482093237e-07,P,metabolic
phnD,22,shift,15.0,1.111241036515128e-06,P,metabolic
phnE_1,1,shift,15.0,5.0510956205233086e-08,S,other
phnE_2,0,shift,15.0,0.0,S,other
phnF,4,shift,15.0,2.0204382482093237e-07,K,other
phnG,0,shift,15.0,0.0,P,metabolic
phnH,1,shift,15.0,5.0510956205233086e-08,P,metabolic
phnI,3,shift,15.0,1.5153286861569928e-07,P,metabolic
phnJ,2,shift,15.0,1.0102191241046617e-07,P,metabolic
phnK,4,shift,15.0,2.0204382482093237e-07,P,metabolic
phnL,13,shift,15.0,6.566424306680302e-07,P,metabolic
phnM,7,shift,15.0,3.535766934366316e-07,P,metabolic
phnN,38,shift,15.0,1.9194163357988574e-06,G,metabolic
phnO,161,shift,15.0,8.132263949042527e-06,J,ribosomal
phnP,80,shift,15.0,4.040876496418647e-06,P,metabolic
phoA,1968,shift,15.0,9.940556181189872e-05,P,metabolic
phoB,890,shift,15.0,4.4954751022657445e-05,T,other
phoE,187,shift,15.0,9.445548810378588e-06,M,other
phoH,102017,shift,15.0,0.0051529762191892,T,other
phoP,4321,shift,15.0,0.0002182578417628,T,other
phoQ,1378,shift,15.0,6.960409765081119e-05,T,other
phoR,505,shift,15.0,2.550803288364271e-05,T,other
phoU,2039,shift,15.0,0.0001029918397024,P,metabolic
php,79,shift,15.0,3.990365540213414e-06,R,other
phr,539,shift,15.0,2.7225405394620635e-05,L,other
pinE,26,shift,15.0,1.3132848613360603e-06,L,other
pinH,10,shift,15.0,5.051095620523309e-07,S,other
pinQ,44,shift,15.0,2.222482073030256e-06,L,other
pinR,54,shift,15.0,2.7275916350825868e-06,L,other
pitA,1899,shift,15.0,9.592030583373764e-05,P,metabolic
pitB,74,shift,15.0,3.737810759187248e-06,P,metabolic
plaP,232,shift,15.0,1.1718541839614076e-05,E,metabolic
pldA,1079,shift,15.0,5.45013217454465e-05,M,other
pldB,1667,shift,15.0,8.420176399412356e-05,I,other
pliG,764,shift,15.0,3.859037054079808e-05,S,other
plsB,3773,shift,15.0,0.0001905778377623,I,other
plsC,654,shift,15.0,3.303416535822244e-05,I,other
plsX,2439,shift,15.0,0.0001231962221845,I,other
pmbA,2102,shift,15.0,0.0001061740299433,R,other
pmrD,1233,shift,15.0,6.228000900105239e-05,S,other
pmrR,999,shift,15.0,5.0460445249027855e-05,S,other
pncA,837,shift,15.0,4.227767034378009e-05,H,metabolic
pncB,1602,shift,15.0,8.091855184078341e-05,H,metabolic
pncC,433,shift,15.0,2.1871244036865925e-05,H,metabolic
pnp,10068,shift,15.0,0.0005085443070742,J,ribosomal
pntA,17851,shift,15.0,0.0009016710792196,C,metabolic
pntB,9473,shift,15.0,0.0004784902881321,C,metabolic
pnuC,3347,shift,15.0,0.0001690601704189,H,metabolic
polA,5362,shift,15.0,0.0002708397471724,L,other
polB,1053,shift,15.0,5.318803688411044e-05,L,other
potA,848,shift,15.0,4.2833290862037656e-05,E,metabolic
potB,213,shift,15.0,1.0758833671714649e-05,E,metabolic
potC,237,shift,15.0,1.197109662064024e-05,E,metabolic
potD,2004,shift,15.0,0.0001012239562352,E,metabolic
potE,694,shift,15.0,3.5054603606431764e-05,E,metabolic
potF,3084,shift,15.0,0.0001557757889369,E,metabolic
potG,1392,shift,15.0,7.031125103768445e-05,E,metabolic
potH,559,shift,15.0,2.823562451872529e-05,E,metabolic
potI,630,shift,15.0,3.1821902409296843e-05,E,metabolic
poxB,6659,shift,15.0,0.0003363524573706,E,metabolic
ppa,5569,shift,15.0,0.0002812955151069,C,metabolic
ppc,5172,shift,15.0,0.0002612426654934,C,metabolic
ppdA,101,shift,15.0,5.101606576728542e-06,N,other
ppdB,136,shift,15.0,6.8694900439117e-06,U,other
ppdC,118,shift,15.0,5.960292832217504e-06,N,other
ppdD,6,shift,15.0,3.030657372313985e-07,N,other
pphA,514,shift,15.0,2.596263148948981e-05,T,other
pphB,44,shift,15.0,2.222482073030256e-06,T,other
ppiA,2241,shift,15.0,0.0001131950528559,O,other
ppiB,5840,shift,15.0,0.0002949839842385,O,other
ppiC,457,shift,15.0,2.308350698579152e-05,O,other
ppiD,6458,shift,15.0,0.0003261997551733,O,other
ppk,2723,shift,15.0,0.0001375413337468,P,metabolic
pppA,425,shift,15.0,2.1467156387224063e-05,N,other
ppsA,31024,shift,15.0,0.0015670519053111,G,metabolic
ppsR,3438,shift,15.0,0.0001736566674335,T,other
pptA,759,shift,15.0,3.833781575977191e-05,Q,other
ppx,1475,shift,15.0,7.45036604027188e-05,F,metabolic
pqiA,1303,shift,15.0,6.58157759354187e-05,S,other
pqiB,1793,shift,15.0,9.056614447598292e-05,M,other
pqqL,815,shift,15.0,4.116642930726497e-05,R,other
prc,3287,shift,15.0,0.0001660295130466,O,other
preA,3440,shift,15.0,0.000173757689346,F,metabolic
preT,5047,shift,15.0,0.0002549287959678,E,metabolic
prfA,795,shift,15.0,4.015621018316031e-05,J,ribosomal
prfB,1852,shift,15.0,9.354629089209168e-05,J,ribosomal
prfC,745,shift,15.0,3.763066237289865e-05,J,ribosomal
prfH,20,shift,15.0,1.0102191241046615e-06,S,other
priA,394,shift,15.0,1.990131674486184e-05,L,other
priB,1413,shift,15.0,7.137198111799435e-05,L,other
priC,894,shift,15.0,4.5156794847478376e-05,L,other
prkB,2056,shift,15.0,0.0001038505259579,G,metabolic
prlC,8394,shift,15.0,0.0004239889663867,E,metabolic
prlF,3170,shift,15.0,0.0001601197311705,K,other
prmA,722,shift,15.0,3.646891038017829e-05,J,ribosomal
prmB,2297,shift,15.0,0.0001160236664034,J,ribosomal
prmC,247,shift,15.0,1.2476206182692571e-05,J,ribosomal
proA,3601,shift,15.0,0.000181889953295,E,metabolic
proB,2259,shift,15.0,0.0001141042500676,E,metabolic
proC,1915,shift,15.0,9.672848113302136e-05,E,metabolic
proP,14267,shift,15.0,0.00072063981218,G,metabolic
proQ,6249,shift,15.0,0.0003156429653265,T,other
proS,2874,shift,15.0,0.0001451684881338,J,ribosomal
proV,1311,shift,15.0,6.621986358506058e-05,P,metabolic
proW,532,shift,15.0,2.6871828701184003e-05,E,metabolic
proX,791,shift,15.0,3.995416635833937e-05,E,metabolic
proY,323,shift,15.0,1.6315038854290288e-05,E,metabolic
prpB,1736,shift,15.0,8.768701997228464e-05,G,metabolic
prpC,1101,shift,15.0,5.5612562781961626e-05,C,metabolic
prpD,676,shift,15.0,3.4145406394737563e-05,G,metabolic
prpE,510,shift,15.0,2.5760587664668874e-05,I,other
prpR,5907,shift,15.0,0.0002983682183043,K,other
prs,2707,shift,15.0,0.0001367331584475,F,metabolic
psd,1655,shift,15.0,8.359563251966075e-05,I,other
psiE,547,shift,15.0,2.7629493044262497e-05,R,other
psiF,4395,shift,15.0,0.0002219956525219,S,other
pspA,4650,shift,15.0,0.0002348759463543,K,other
pspB,520,shift,15.0,2.626569722672121e-05,S,other
pspC,921,shift,15.0,4.652059066501967e-05,K,other
pspD,457,shift,15.0,2.308350698579152e-05,S,other
pspE,6100,shift,15.0,0.0003081168328519,P,metabolic
pspF,605,shift,15.0,3.055912850416602e-05,K,other
pspG,324,shift,15.0,1.636554981049552e-05,S,other
pssA,9690,shift,15.0,0.0004894511656287,I,other
pstA,201,shift,15.0,1.015270219725185e-05,P,metabolic
pstB,1292,shift,15.0,6.526015541716115e-05,P,metabolic
pstC,444,shift,15.0,2.242686455512349e-05,P,metabolic
pstS,1304,shift,15.0,6.586628689162395e-05,P,metabolic
psuG,196,shift,15.0,9.900147416225686e-06,F,metabolic
psuK,307,shift,15.0,1.550686355500656e-05,G,metabolic
psuT,312,shift,15.0,1.575941833603272e-05,F,metabolic
pta,3443,shift,15.0,0.0001739092222146,C,metabolic
pth,698,shift,15.0,3.5256647431252696e-05,J,ribosomal
ptrA,983,shift,15.0,4.965226994974412e-05,O,other
ptrB,1869,shift,15.0,9.440497714758064e-05,E,metabolic
ptsA,150,shift,15.0,7.576643430784963e-06,G,metabolic
ptsG,4542,shift,15.0,0.0002294207630841,G,metabolic
ptsH,3211,shift,15.0,0.000162190680375,T,other
ptsI,31898,shift,15.0,0.0016111984810345,G,metabolic
ptsN,5024,shift,15.0,0.000253767043975,G,metabolic
ptsP,2192,shift,15.0,0.0001107200160018,T,other
purA,6229,shift,15.0,0.0003146327462023,F,metabolic
purB,215,shift,15.0,1.0859855584125114e-05,F,metabolic
purC,175,shift,15.0,8.83941733591579e-06,F,metabolic
purD,163,shift,15.0,8.233285861452994e-06,F,metabolic
purE,16,shift,15.0,8.081752992837294e-07,F,metabolic
purF,889,shift,15.0,4.490424006645221e-05,F,metabolic
purH,148,shift,15.0,7.475621518374496e-06,F,metabolic
purK,44,shift,15.0,2.222482073030256e-06,F,metabolic
purL,307,shift,15.0,1.550686355500656e-05,F,metabolic
purM,106,shift,15.0,5.354161357754707e-06,F,metabolic
purN,276,shift,15.0,1.3941023912644332e-05,F,metabolic
purR,453,shift,15.0,2.288146316097059e-05,K,other
purT,56,shift,15.0,2.828613547493053e-06,F,metabolic
purU,1392,shift,15.0,7.031125103768445e-05,F,metabolic
putA,8013,shift,15.0,0.0004047442920725,E,metabolic
putP,18475,shift,15.0,0.0009331899158916,E,metabolic
puuA,2403,shift,15.0,0.0001213778277611,E,metabolic
puuB,116,shift,15.0,5.859270919807038e-06,E,metabolic
puuC,187,shift,15.0,9.445548810378588e-06,C,metabolic
puuD,1974,shift,15.0,9.970862754913012e-05,E,metabolic
puuE,91,shift,15.0,4.5964970146762105e-06,E,metabolic
puuP,973,shift,15.0,4.914716038769179e-05,E,metabolic
puuR,1236,shift,15.0,6.24315418696681e-05,K,other
pykA,15189,shift,15.0,0.0007672109138012,G,metabolic
pykF,8008,shift,15.0,0.0004044917372915,G,metabolic
pyrB,52,shift,15.0,2.6265697226721207e-06,F,metabolic
pyrC,213,shift,15.0,1.0758833671714649e-05,F,metabolic
pyrD,111,shift,15.0,5.606716138780873e-06,F,metabolic
pyrE,94,shift,15.0,4.74802988329191e-06,F,metabolic
pyrF,277,shift,15.0,1.3991534868849564e-05,F,metabolic
pyrG,7925,shift,15.0,0.0004002993279264,F,metabolic
pyrH,1289,shift,15.0,6.510862254854544e-05,F,metabolic
pyrI,104,shift,15.0,5.253139445344241e-06,F,metabolic
pyrL,107,shift,15.0,5.404672313959941e-06,S,other
qmcA,5686,shift,15.0,0.0002872052969829,O,other
qor,4578,shift,15.0,0.0002312391575075,C,metabolic
qorB,180,shift,15.0,9.091972116941955e-06,R,other
qseB,102,shift,15.0,5.152117532933775e-06,T,other
qseC,368,shift,15.0,1.8588031883525777e-05,T,other
queA,232,shift,15.0,1.1718541839614076e-05,J,ribosomal
queC,1521,shift,15.0,7.682716438815953e-05,J,ribosomal
queD,64,shift,15.0,3.232701197134917e-06,H,metabolic
queE,1142,shift,15.0,5.768351198637618e-05,R,other
queF,866,shift,15.0,4.374248807373185e-05,J,ribosomal
queG,769,shift,15.0,3.884292532182424e-05,J,ribosomal
racC,10,shift,15.0,5.051095620523309e-07,S,other
racR,1051,shift,15.0,5.3087014971699975e-05,S,other
radA,733,shift,15.0,3.702453089843585e-05,O,other
radD,313,shift,15.0,1.5809929292237956e-05,K,other
raiA,897027,shift,15.0,0.0453096915119116,J,ribosomal
ralR,11,shift,15.0,5.55620518257564e-07,S,other
rapA,1730,shift,15.0,8.738395423505324e-05,K,other
rapZ,3384,shift,15.0,0.0001709290757985,T,other
rarA,946,shift,15.0,4.77833645701505e-05,L,other
rarD,257,shift,15.0,1.2981315744744905e-05,S,other
ratA,1014,shift,15.0,5.121810959210635e-05,J,ribosomal
ratB,727,shift,15.0,3.672146516120445e-05,V,other
ravA,2011,shift,15.0,0.0001015775329287,R,other
rayT,643,shift,15.0,3.2478544839964875e-05,X,other
rbbA,3436,shift,15.0,0.0001735556455211,V,other
rbfA,780,shift,15.0,3.939854584008181e-05,J,ribosomal
rbn,311,shift,15.0,1.570890737982749e-05,J,ribosomal
rbsA,29787,shift,15.0,0.0015045698524852,G,metabolic
rbsB,68298,shift,15.0,0.003449797286905,G,metabolic
rbsC,15522,shift,15.0,0.0007840310622176,G,metabolic
rbsD,174316,shift,15.0,0.0088048678418714,G,metabolic
rbsK,3715,shift,15.0,0.0001876482023024,G,metabolic
rbsR,720,shift,15.0,3.636788846776782e-05,K,other
rcdA,442,shift,15.0,2.2325842642713026e-05,K,other
rclA,2547,shift,15.0,0.0001286514054547,C,metabolic
rclB,37,shift,15.0,1.868905379593624e-06,S,other
rclC,212,shift,15.0,1.0708322715509414e-05,S,other
rclR,1533,shift,15.0,7.743329586262233e-05,K,other
rcnA,2942,shift,15.0,0.0001486032331557,P,metabolic
rcnB,1556,shift,15.0,7.859504785534268e-05,P,metabolic
rcnR,2297,shift,15.0,0.0001160236664034,K,other
rcsA,173,shift,15.0,8.738395423505324e-06,T,other
rcsB,8551,shift,15.0,0.0004319191865109,T,other
rcsC,1775,shift,15.0,8.965694726428873e-05,T,other
rcsD,4064,shift,15.0,0.000205276526018,T,other
rcsF,1298,shift,15.0,6.556322115439255e-05,S,other
rdgB,369,shift,15.0,1.8638542839731008e-05,F,metabolic
rdgC,646,shift,15.0,3.263007770858057e-05,L,other
rdoA,2227,shift,15.0,0.000112487899469,T,other
recA,5933,shift,15.0,0.0002996815031656,L,other
recB,584,shift,15.0,2.9498398423856124e-05,L,other
recC,1748,shift,15.0,8.829315144674744e-05,L,other
recD,504,shift,15.0,2.5457521927437478e-05,L,other
recE,204,shift,15.0,1.030423506586755e-05,S,other
recF,164,shift,15.0,8.283796817658227e-06,L,other
recG,308,shift,15.0,1.555737451121179e-05,L,other
recJ,987,shift,15.0,4.9854313774565054e-05,L,other
recN,1601,shift,15.0,8.086804088457817e-05,L,other
recO,453,shift,15.0,2.288146316097059e-05,L,other
recQ,393,shift,15.0,1.98508057886566e-05,L,other
recR,487,shift,15.0,2.4598835671948514e-05,L,other
recT,261,shift,15.0,1.3183359569565836e-05,L,other
recX,40,shift,15.0,2.0204382482093234e-06,O,other
relA,6883,shift,15.0,0.0003476669115606,T,other
relB,2579,shift,15.0,0.0001302677560532,V,other
relE,4500,shift,15.0,0.0002272993029235,V,other
rem,205,shift,15.0,1.0354746022072784e-05,S,other
