phi_X,growth_rate_hr,relative_growth_rate,source
0,1.0161490683229800,1.0000000000000000,Bentley et al. 1990
7.207207207207210,0.8354764702590790,0.8221987268442050,Bentley et al. 1990
9.72972972972973,0.7354708746013090,0.7237824621687710,Bentley et al. 1990
18.28828828828830,0.5817917296178170,0.5725456507852610,Bentley et al. 1990
0,0.9267080745341620,1.0000000000000000,Scott et al. 2010
2.072072072072080,0.84172122432992,0.908291669685771,Scott et al. 2010
3.603603603603610,0.8338873034525210,0.8998381759775860,Scott et al. 2010
17.65765765765770,0.482569526047787,0.52073521242422,Scott et al. 2010
15.495495495495500,0.4185104359017400,0.4516097867304300,Scott et al. 2010
18.73873873873870,0.31832577919534400,0.343501678622321,Scott et al. 2010
25.49549549549550,0.25701975267192700,0.27734705214598,Scott et al. 2010
30.9009009009009,0.19853393766437200,0.214235683404584,Scott et al. 2010
29.63963963963960,0.057232387667170300,0.0598324597529016,Dong et al. 1995
28.108108108108100,0.16196071848245800,0.169318607263198,Dong et al. 1995
27.117117117117100,0.16469139947400800,0.17217334331711,Dong et al. 1995
25.135135135135100,0.32170555648816500,0.336320666417072,Dong et al. 1995
17.56756756756760,0.5347658217223430,0.559060277049794,Dong et al. 1995
16.216216216216200,0.609635722679201,0.637331523773868,Dong et al. 1995
16.216216216216200,0.6170891388282690,0.645123549232497,Dong et al. 1995
9.189189189189190,0.8002014436797050,0.83655466117559,Dong et al. 1995
4.594594594594600,0.868423703206312,0.907876263571696,Dong et al. 1995
4.594594594594600,0.863454759106933,0.902681579932610,Dong et al. 1995
3.963963963963970,0.8983940462201330,0.939208161737177,Dong et al. 1995
3.0630630630630700,0.9160091768787420,0.957623549232497,Dong et al. 1995
2.6126126126126200,0.9036987297856860,0.944753837514039,Dong et al. 1995
2.7027027027027100,0.8937384589558500,0.934341070760015,Dong et al. 1995
2.7027027027027100,0.8813160987074030,0.921354361662299,Dong et al. 1995
1.8918918918918900,0.9138156790330700,0.955330400599026,Dong et al. 1995
0,0.956544121761513,1.000000000000000,Dong et al. 1995
1.1205508356932700,1.7463768115942000,1.0000000000000000,Scott et al. 2010
2.734188461324900,1.785024154589370,1.02213001383126,Scott et al. 2010
1.0006108057082600,1.7028985507246400,0.9751037344398370,Scott et al. 2010
4.312843578210900,1.5193236714975800,0.8699861687413540,Scott et al. 2010
12.197234715975300,1.1135265700483100,0.6376210235131410,Scott et al. 2010
14.032983508245900,1.0845410628019300,0.6210235131396950,Scott et al. 2010
17.239713476595000,0.9830917874396140,0.5629322268326430,Scott et al. 2010
18.02654228441340,0.8285024154589370,0.4744121715076080,Scott et al. 2010
20.553612082847500,0.8140096618357490,0.4661134163208860,Scott et al. 2010
24.910877894386100,0.7222222222222220,0.4135546334716460,Scott et al. 2010
26.281859070464800,0.6497584541062800,0.3720608575380360,Scott et al. 2010
19.267588428008200,0.6256038647343000,0.3582295988935000,Scott et al. 2010
1.0250430340385400,0.9154589371980680,1.0000000000000000,Scott et al. 2010
3.0840135487811700,0.8285024154589370,0.9050131926121370,Scott et al. 2010
4.692098395246820,0.8188405797101450,0.8944591029023740,Scott et al. 2010
18.790604697651200,0.47584541062801900,0.519788918205804,Scott et al. 2010
19.807318562940800,0.3212560386473430,0.3509234828496040,Scott et al. 2010
26.696096396246300,0.25362318840579700,0.277044854881266,Scott et al. 2010
32.09228718973850,0.20048309178744000,0.218997361477573,Scott et al. 2010
1.1072241656949300,0.630434782608696,1.10126582278481,Scott et al. 2010
1.100560830695770,0.5724637681159420,1.0000000000000000,Scott et al. 2010
4.205674940307630,0.5869565217391310,1.0253164556962000,Scott et al. 2010
7.417402409906160,0.5289855072463770,0.9240506329113930,Scott et al. 2010
10.160475317896600,0.3937198067632850,0.6877637130801690,Scott et al. 2010
15.202398800599700,0.2584541062801940,0.4514767932489470,Scott et al. 2010
16.2557610083847,0.42270531400966200,0.738396624472574,Scott et al. 2010
22.905214059636800,0.2729468599033820,0.4767932489451480,Scott et al. 2010
24.281748014881500,0.24879227053140100,0.434599156118144,Scott et al. 2010
