,,,downshift,downshift,downshift,downshift,downshift,downshift,downshift,downshift,upshift,upshift,upshift,upshift,upshift,upshift,upshift,upshift
yuaY,,C up,0,0,"0,013291867","0,062963804","0,06993218","0,080918039","0,094842587","0,08836686","0,109692222","0,091200403","0,105466753","0,076455703","0,061082642","0,061647896","0,033265998","0,037784325"
aas,,C flat,0,0,0,"0,010084712",0,0,0,0,0,0,0,0,0,0,0,"0,01146789"
abgB,,C flat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,012242899",0
accA,,C flat,"0,164469596","0,165275463","0,178709332","0,183849055","0,158630781","0,142649585","0,135431121","0,117799577","0,141572211","0,106680288","0,170261736","0,140213391","0,153027058","0,14327702","0,171297205","0,188921623"
ackA,,C flat,"0,132751758","0,127809499","0,121156621","0,125927607","0,158069795","0,157903131","0,159762168","0,122716481","0,126128991","0,097056575","0,100167248","0,094772958","0,112625748","0,141918593","0,166329989","0,196467363"
acpP,,C flat,"0,068868553","0,099112388","0,107796684","0,066506581","0,067947573","0,057798599","0,075066714","0,060146192","0,073658041","0,116304001","0,088105642","0,105038416","0,081443523","0,116577751","0,071499212","0,085467679"
acrE,,C flat,0,0,0,0,"0,012510947","0,010328445",0,0,0,0,"0,011899096",0,0,0,0,0
acuI,,C flat,"0,014045354",0,"0,011830119","0,028210935","0,038093827","0,03467916","0,034996574","0,027008619","0,01584064","0,010668029","0,011899096","0,024423006","0,031502678","0,023809524","0,011088666","0,00989903"
add,,C flat,0,0,0,"0,010084712","0,012510947","0,012790995",0,"0,012257906",0,0,0,"0,011238481",0,0,0,0
ade,,C flat,0,0,0,0,0,"0,010328445",0,0,0,0,0,0,0,0,0,0
nudF,,C flat,0,0,0,0,0,"0,010328445",0,"0,009833809","0,01029548","0,009623713","0,011574074","0,011238481",0,0,0,0
ycjG,,C flat,0,0,0,0,"0,012510947",0,0,0,0,0,0,0,0,0,0,0
flu,,C flat,0,0,0,0,0,0,0,"0,009833809",0,0,0,0,0,0,0,0
ahpF,,C flat,"0,104661049","0,094860187","0,113779813","0,107801384","0,109449629","0,101574928","0,083177063","0,098200669","0,094447711","0,097056575","0,099842227","0,088180695","0,096233505","0,095830863","0,088709327","0,106834599"
metL,amino acid synthesis,C flat,"0,021747141","0,013285506","0,020668674","0,020169423","0,011087325","0,016723942","0,011665525","0,036842428","0,01564193","0,010668029","0,02347317","0,011238481","0,029579965","0,016325825","0,016055882","0,015632975"
alaC,amino acid synthesis,C flat,0,"0,017537706","0,013291867","0,01158429","0,012510947",0,"0,010147133","0,009833809","0,01049419","0,011712345","0,011736585","0,011724992","0,009859988","0,011904762","0,011088666","0,016417405"
allR,,C flat,0,"0,013285506","0,011830119",0,"0,012510947","0,010328445","0,013183916",0,"0,01049419","0,009623713","0,011899096",0,"0,010500893","0,011904762",0,"0,00989903"
alr,,C flat,0,0,0,0,0,0,0,0,"0,01029548","0,009623713",0,0,0,0,0,"0,00989903"
dadX,,C flat,0,0,0,0,0,0,0,0,0,"0,011712345",0,0,0,0,0,0
amiA,,C flat,0,0,0,0,0,0,0,0,0,0,"0,011574074",0,0,0,0,0
tynA,,C flat,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,010373444",0,0
pepA,,C flat,"0,104661049","0,077058029","0,093043069","0,115842896","0,099785926","0,104037479","0,099916154","0,106753719","0,089299971","0,066731397","0,070419509","0,093313424","0,081443523","0,071255681","0,083742111","0,075568649"
anmK,,C flat,0,0,0,0,0,0,0,"0,009833809",0,0,0,0,"0,010500893",0,0,0
araF,Catabolic,C flat,0,0,0,0,"0,015919177",0,"0,016739091","0,028220668",0,"0,009623713",0,0,0,0,0,0
araH,Catabolic,C flat,0,0,0,0,0,"0,012790995",0,0,0,0,0,0,0,0,0,0
arcA,,C flat,"0,033225233","0,029405811","0,044306224","0,057921448","0,061260781","0,051403102","0,050717273","0,054017239","0,057519336","0,068820029","0,046946339","0,044333603","0,054936586","0,044173582","0,03078239","0,02518955"
arcB,,C flat,0,0,"0,013291867",0,"0,011087325","0,010328445","0,018257482",0,"0,01029548","0,021336058","0,011736585","0,030042247","0,015110434","0,016325825","0,011088666","0,01979806"
arfB,affiliated translational apparatus,C flat,0,0,0,0,0,0,"0,010147133",0,0,0,0,0,0,0,0,0
aroB,amino acid synthesis,C flat,"0,021747141","0,015411606","0,019206927","0,016626645","0,042925678","0,03467916","0,041588531","0,038054477","0,04197676","0,032004086","0,035209755","0,041280727","0,040721761","0,038604031","0,034420231","0,026316435"
aroL,amino acid synthesis,C flat,"0,015403574",0,0,0,0,0,0,0,0,0,0,"0,012211503",0,"0,011904762","0,009934433",0
artI,,C flat,"0,137737106","0,112397893","0,125541863","0,107801384","0,133047901","0,076985092","0,161280559","0,095707862","0,08969739","0,070908661","0,082481116","0,070836463","0,077474886","0,102548903","0,10742396","0,144618924"
ascB,Catabolic,C flat,"0,012687135",0,0,0,0,0,0,0,0,0,0,0,"0,009859988",0,0,0
asmA,,C flat,0,0,0,0,"0,012510947",0,0,0,0,0,0,0,"0,010500893",0,0,0
aspA,amino acid synthesis,C flat,0,0,"0,011830119","0,034752869","0,066523951","0,046238879","0,051735665","0,055229287","0,02633483","0,042672115","0,02347317","0,017344232","0,015430887","0,016325825","0,012242899","0,01068346"
astA,Catabolic,C flat,0,0,0,"0,010084712",0,0,0,0,0,0,0,0,0,0,0,0
astC,Catabolic,C flat,0,0,0,"0,082589605","0,094954074","0,062962821","0,043106922","0,038054477",0,0,0,0,0,0,0,0
speG,,C flat,0,0,0,0,0,0,0,0,0,0,0,"0,011238481",0,0,"0,009934433",0
kdpA,,C flat,"0,012687135",0,"0,013291867",0,0,0,0,0,0,0,0,0,0,0,0,0
kdpC,,C flat,"0,048479631","0,061646423","0,033960541","0,046337158","0,027006502","0,02311944","0,016739091","0,022091715","0,01584064","0,021336058","0,04710885","0,023449984","0,035791767","0,049743134","0,038233214","0,0534173"
mgtA,,C flat,0,0,0,0,0,"0,010328445",0,0,0,"0,009623713","0,011574074","0,011238481","0,009859988","0,010373444",0,0
zntA,,C flat,0,0,0,0,"0,012510947",0,0,"0,009833809",0,0,0,0,0,0,0,"0,01146789"
avtA,amino acid synthesis,C flat,"0,028090709","0,022054359","0,019206927","0,021669001","0,02217465","0,030985334","0,023331049","0,015962762","0,02078967","0,026147914","0,029422718","0,034688464","0,030220869","0,037838372","0,034420231","0,026316435"
azoR,,C flat,"0,012687135","0,013285506","0,013291867","0,018126223","0,011087325","0,012790995","0,011665525","0,012257906","0,0213858","0,011712345","0,011899096",0,"0,021001785","0,011904762","0,011088666","0,01068346"
baeR,,C flat,0,0,0,"0,013083868","0,012510947","0,01155972",0,"0,009833809",0,"0,009623713",0,"0,012211503","0,009859988","0,011139103","0,011088666",0
bamB,,C flat,"0,042136063","0,05075147","0,051705721","0,041294803","0,038093827","0,068127044","0,051735665","0,063851047","0,057618691","0,047483972","0,040834281","0,046899968","0,055832196","0,03936969","0,032111765","0,03283481"
bamE,,C flat,"0,014045354","0,022054359","0,013291867","0,016626645","0,011087325","0,01155972","0,011665525","0,011045857","0,02118709","0,010668029","0,011736585","0,017830744","0,01018044","0,017091484","0,011088666","0,01068346"
bglB,,C flat,0,0,0,0,0,0,0,0,0,0,0,0,"0,009859988",0,0,0
bglG,,C flat,0,0,0,0,0,0,0,0,0,0,0,0,"0,009859988",0,0,0
bioA,,C flat,0,0,0,0,0,"0,012790995",0,0,0,0,0,"0,011238481",0,0,0,0
bioC,,C flat,0,0,0,0,0,0,0,0,0,0,0,"0,011238481",0,0,0,0
bioD1,,C flat,0,0,"0,011830119",0,0,"0,010328445","0,010147133","0,012257906",0,0,0,0,"0,010500893",0,0,"0,01146789"
birA,,C flat,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,011904762",0,0
bisC,,C flat,0,0,0,0,0,0,"0,013183916","0,009833809",0,0,"0,011899096","0,011238481",0,0,0,0
blc,,C flat,0,0,0,0,0,"0,010328445",0,"0,009833809",0,0,0,0,0,0,0,0
bolA,,C flat,0,"0,013285506","0,014753615","0,016626645","0,019327406",0,0,0,0,0,0,0,0,0,0,0
NA,,C flat,0,0,0,0,0,0,"0,013183916",0,0,0,0,0,0,0,0,0
caiF,,C flat,0,0,0,0,0,0,0,"0,012257906",0,0,0,0,0,0,0,0
cbl,,C flat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,009934433","0,01146789"
ccdA,,C flat,0,0,0,0,0,0,"0,013183916",0,"0,0106929",0,0,0,0,0,0,0
ccdB,,C flat,"0,015403574","0,017537706","0,014753615","0,013083868","0,011087325","0,01155972","0,011665525","0,011045857","0,0106929","0,015479885","0,011736585","0,022476961","0,01018044","0,011139103","0,011088666","0,01068346"
cdd,,C flat,0,0,0,"0,016626645","0,02217465","0,010328445","0,011665525","0,011045857","0,0106929",0,0,0,0,"0,010373444",0,0
yfaY,,C flat,"0,012687135","0,013285506","0,035490358","0,020169423","0,009663703","0,020656889","0,020294267","0,009833809","0,01049419","0,010668029","0,011736585","0,017344232","0,01018044","0,011904762","0,011088666","0,01068346"
citE,Catabolic,C flat,0,0,0,0,0,0,"0,013183916",0,0,0,0,0,0,0,0,0
clcA,,C flat,0,0,0,0,0,0,0,0,0,0,0,"0,012211503",0,0,0,0
clpX,,C flat,"0,082913907","0,083700782","0,070912647","0,10125945","0,06993218","0,075753817","0,069993147","0,08836686","0,05326579","0,053340144","0,064794983","0,094772958","0,076833981","0,057226833","0,070344979","0,101885084"
cmoB,,C flat,0,0,0,0,0,0,0,"0,012257906",0,0,0,0,0,0,0,0
comR,,C flat,0,0,0,0,0,0,0,0,0,0,"0,011574074",0,0,0,0,0
copA,,C flat,"0,020388922","0,022054359","0,013291867","0,023168579","0,011087325","0,02311944","0,016739091","0,015962762","0,04197676","0,048528288","0,035209755","0,040794216","0,040721761","0,022278206","0,027144548","0,03126595"
cpdB,,C flat,0,0,"0,011830119","0,016626645","0,039517449","0,033447884","0,028404616","0,038054477","0,02653354","0,032004086","0,011736585","0,012211503","0,020360881","0,011139103","0,011088666",0
cpxA,,C flat,0,0,0,0,0,0,0,0,0,0,0,0,"0,009859988",0,0,0
cra,,C flat,"0,014045354","0,013285506","0,013291867","0,01158429","0,011087325","0,016723942","0,011665525","0,015962762","0,02078967","0,03095977","0,017523622","0,022476961","0,020040429","0,016325825","0,017210115","0,01068346"
creA,,C flat,0,0,"0,011830119","0,010084712",0,0,0,0,0,0,0,0,0,0,0,0
csdE,,C flat,0,0,0,"0,01158429","0,011087325","0,010328445","0,011665525","0,009833809","0,01029548","0,009623713","0,011736585","0,011238481","0,01018044","0,022278206","0,009934433","0,02136692"
csiD,,C flat,0,0,0,"0,013083868",0,0,0,0,0,0,0,0,0,0,0,0
curA,,C flat,0,0,0,"0,028210935","0,038093827","0,024350715","0,034996574","0,015962762",0,0,0,"0,011238481",0,0,0,0
cusF,,C flat,"0,038061406","0,015411606","0,014753615",0,0,0,0,"0,012257906","0,0106929","0,015479885","0,011736585","0,023449984","0,010500893","0,016325825","0,011088666","0,02136692"
cusR,,C flat,0,0,0,0,0,0,0,0,"0,01029548",0,0,0,"0,009859988",0,0,0
cusS,,C flat,0,0,0,0,0,"0,012790995","0,013183916",0,"0,0106929",0,0,0,0,0,0,0
cutC,,C flat,0,0,0,0,0,0,0,0,"0,0106929",0,0,0,0,0,0,0
cyaA,,C flat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,009934433",0
cydD,,C flat,0,0,0,0,0,0,0,"0,009833809",0,0,0,0,0,0,0,0
cyoA,,C flat,"0,042136063","0,046234817","0,039875601","0,039795225","0,027006502","0,038372985","0,028404616","0,036773719","0,02118709","0,022380374","0,023798191","0,024423006","0,04200357","0,023043865","0,032111765","0,04194941"
cysK,amino acid synthesis,C flat,"0,506543451","0,588031572","0,447538237","0,495668918","0,471923128","0,438038079","0,443808326","0,466418821","0,488079195","0,501397355","0,528796362","0,519086327","0,55992422","0,562141869","0,541036164","0,521136245"
cysP,,C flat,"0,262787077","0,266513951","0,262913846","0,222144702","0,20155646","0,164537749","0,203905877","0,218493052","0,173054782","0,192024519","0,199521943","0,24622483","0,234470581","0,262151749","0,241642184","0,232682828"
cysQ,,C flat,0,0,0,"0,01158429","0,017342799","0,012790995","0,013183916","0,011045857","0,01029548",0,0,0,0,0,0,0
NA,,C flat,0,0,0,0,0,0,"0,010147133",0,0,0,0,0,0,0,0,0
dacC,,C flat,0,0,"0,011830119","0,028210935","0,038093827","0,03467916","0,056809232","0,027008619","0,01029548",0,0,0,"0,010500893",0,"0,011088666","0,01146789"
NA,,C flat,0,0,0,0,0,"0,01155972",0,"0,009833809",0,0,"0,011574074",0,"0,009859988",0,0,0
dadA,Catabolic,C flat,0,0,0,"0,010084712",0,0,"0,013183916","0,009833809",0,"0,009623713",0,0,0,0,0,0
damX,,C flat,0,0,0,"0,010084712",0,0,0,0,0,0,"0,011899096",0,"0,009859988",0,"0,012242899","0,01068346"
dauA,,C flat,0,0,0,0,0,0,0,"0,012257906",0,"0,009623713",0,0,0,0,0,0
dcd,,C flat,"0,014045354","0,015411606","0,013291867","0,01158429","0,011087325","0,03467916","0,018257482","0,015962762","0,02098838","0,020291742","0,011736585","0,017344232","0,015110434","0,027464928","0,009934433","0,00989903"
gadA,Catabolic,C flat,"0,012687135",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ldcC,,C flat,0,0,0,0,0,0,0,"0,012257906",0,0,0,0,0,0,0,0
dcm,,C flat,0,0,0,0,0,0,"0,013183916","0,012257906",0,0,0,0,0,0,0,0
speC,,C flat,0,0,0,0,0,0,"0,010147133",0,0,0,0,0,0,0,0,0
dctA,,C flat,0,0,0,0,"0,012510947","0,016723942","0,011665525","0,015962762","0,01564193","0,015479885","0,017523622","0,017344232","0,009859988","0,011139103",0,0
dcuB,Catabolic,C flat,0,0,0,0,"0,012510947",0,0,0,0,0,0,0,0,0,0,0
dcyD,,C flat,"0,061166766","0,077058029","0,067921083","0,062963804","0,079034898","0,06026115","0,086732238","0,067487194","0,05266966","0,059196317","0,064632472","0,053492231","0,051543106","0,067600277","0,072653445","0,059935674"
ddpA,,C flat,0,0,0,0,"0,011087325","0,01155972","0,011665525","0,012257906",0,0,0,0,0,0,0,0
degS,,C flat,0,0,0,0,0,0,0,0,"0,0106929",0,0,"0,011238481",0,0,0,0
der,,C flat,"0,042136063","0,053142022","0,025121987","0,029710513","0,038093827","0,029514937","0,018257482","0,031925524","0,03663031","0,022380374","0,029422718","0,029555735","0,025611327","0,028230587","0,027144548","0,037784325"
gcd,Catabolic,C flat,0,0,0,"0,01158429",0,0,0,0,0,0,0,0,0,0,0,0
ndh,,C flat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,01068346"
sdhD,TCA,C flat,0,0,0,0,0,0,0,"0,009833809",0,0,0,0,0,0,0,0
diaA,,C flat,"0,012687135",0,0,"0,010084712","0,012510947","0,010328445",0,"0,009833809","0,0106929","0,011712345","0,011574074","0,012211503",0,"0,010373444","0,012242899","0,01146789"
dicA,,C flat,0,0,0,0,0,0,0,0,"0,0106929",0,0,0,0,0,0,0
dkgA,,C flat,0,0,0,"0,01158429","0,012510947","0,012790995",0,"0,009833809",0,0,0,0,0,0,0,0
dksA,,C flat,"0,068868553","0,037465964","0,085666262","0,11080054","0,071355802","0,068127044","0,066956365","0,071192049","0,089498681","0,085344231","0,082156094","0,076455703","0,06076219","0,100251926","0,060410546","0,05420173"
polA,,C flat,"0,012687135","0,013285506","0,013291867","0,033253291","0,028991109","0,01155972","0,026367831","0,022091715","0,01049419","0,021336058","0,02347317","0,034201953","0,025290875","0,021512547","0,016055882","0,01068346"
dnaE,,C flat,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,010373444",0,0
dnaX,,C flat,0,0,0,"0,010084712",0,0,0,0,0,0,0,0,"0,009859988",0,0,0
dppA,Catabolic,C flat,"0,476183832","0,423020561","0,478507214","0,443745782","0,500914237","0,465843498","0,637048676","0,532556548","0,689257195","0,736913436","0,717231764","0,65071269","0,640603628","0,644116775","0,680571889","0,660021224"
dppB,Catabolic,C flat,0,0,0,0,"0,012510947","0,012790995",0,0,0,0,"0,011899096",0,0,"0,011904762",0,"0,01068346"
dppD,Catabolic,C flat,"0,014045354","0,039592065","0,025121987","0,028210935","0,033261975","0,039843382","0,046662098","0,050312383","0,0578174","0,038904575","0,046946339","0,04787299","0,056152648","0,04608773","0,056597563","0,058366814"
dsbD,,C flat,0,0,0,0,"0,012510947",0,0,0,0,0,0,0,0,0,0,0
dsbG,,C flat,0,0,0,0,0,0,0,"0,009833809",0,0,0,0,0,0,0,0
dtd,,C flat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,009934433",0
dtpB,Catabolic,C flat,0,0,0,0,0,0,"0,013183916",0,0,0,0,0,0,0,0,0
dusA,,C flat,0,0,0,0,0,0,0,0,0,0,0,0,"0,010500893","0,011904762",0,0
dusB,,C flat,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,010373444",0,0
dut,nucleotide synthesis,C flat,"0,028090709","0,017537706","0,011830119","0,010084712",0,"0,017955217","0,013183916","0,012257906","0,02078967","0,016524201","0,011899096","0,024423006","0,04200357","0,011904762","0,022177332","0,027100865"
edd,,C flat,0,0,0,0,0,0,0,0,0,0,0,"0,011238481","0,070622178","0,11734341","0,184694338","0,148784009"
efeO,,C flat,"0,050748541","0,024180459",0,"0,016626645","0,019327406","0,01155972","0,010147133","0,012257906","0,01049419",0,"0,023798191","0,011238481","0,030220869","0,011139103","0,022177332","0,02058249"
elaD,,C flat,0,"0,017537706",0,0,0,0,0,0,0,"0,011712345",0,0,0,0,0,0
elbB,,C flat,"0,020388922","0,024180459","0,013291867","0,029710513","0,038093827","0,030746213","0,029923007","0,049031625","0,02653354","0,028236546","0,047596383","0,029555735","0,025931779","0,035714286","0,027144548","0,03205038"
elfD,,C flat,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,010373444",0,0
emtA,,C flat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,012242899",0
entA,,C flat,0,0,0,0,0,0,0,0,0,0,0,0,"0,009859988","0,010373444",0,0
entB,,C flat,"0,021747141","0,013285506","0,026583734","0,023168579","0,017342799","0,016723942","0,011665525","0,015962762","0,01029548","0,010668029","0,017686133","0,011724992","0,01018044","0,017091484","0,016055882","0,027100865"
entC,,C flat,0,0,0,0,0,"0,010328445",0,0,0,"0,009623713","0,011574074","0,011724992","0,019719976","0,010373444",0,0
envC,,C flat,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,011904762",0,0
envZ,,C flat,0,0,0,0,0,"0,010328445",0,0,0,0,0,0,0,0,0,0
NA,,C flat,0,0,0,0,0,"0,010328445",0,"0,009833809","0,01049419","0,009623713",0,"0,011238481","0,01018044","0,011139103","0,009934433","0,01146789"
erpA,,C flat,"0,014045354","0,015411606","0,019206927","0,016626645","0,015919177","0,01155972","0,016739091","0,022091715","0,01564193","0,015479885","0,02347317","0,011724992","0,020360881","0,011139103","0,028298781","0,016417405"
eutD,,C flat,0,0,0,0,0,0,0,0,0,0,"0,011574074",0,0,0,0,0
eutL,,C flat,0,0,0,"0,010084712","0,012510947",0,"0,010147133",0,0,"0,009623713",0,0,"0,010500893","0,010373444",0,0
recC,,C flat,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,010373444",0,0
xseB,,C flat,"0,02673249","0,022054359","0,026583734","0,023168579","0,015919177","0,02311944","0,028404616","0,022091715","0,03168128","0,042672115","0,02347317","0,029555735","0,025611327","0,028230587","0,028298781","0,04273384"
fabB,,C flat,"0,109646397","0,141095004","0,096034634","0,134512741","0,084427735","0,065664493","0,058327623","0,063851047","0,084152231","0,093923627","0,088105642","0,0642442","0,081763975","0,093533887","0,059256313","0,094582279"
fabF,,C flat,"0,054823199","0,059520323","0,039875601","0,04483758","0,038093827","0,029514937","0,028404616","0,038054477","0,0320787","0,020291742","0,029260207","0,022963472","0,035150863","0,028230587","0,033265998","0,036999895"
fabG,,C flat,"0,132751758","0,149863857","0,152125597","0,130969963","0,104617778","0,076985092","0,104989721","0,073616147","0,10019158","0,111492145","0,111903833","0,100878709","0,071583535","0,096596522","0,129251008","0,117518059"
fabH,,C flat,"0,063883205","0,068289176","0,100419877","0,059964648","0,055436626","0,052634377","0,061882798","0,055229287","0,03682902","0,042672115","0,046946339","0,045440434","0,050902202","0,049743134","0,066531996","0,048467785"
fabR,,C flat,0,0,0,0,0,0,"0,010147133",0,0,"0,009623713",0,0,0,"0,010373444",0,0
fadH,,C flat,0,0,0,"0,020169423","0,015919177",0,0,"0,012257906","0,0106929","0,011712345",0,"0,011238481",0,0,0,0
fadI,,C flat,0,0,0,"0,010084712","0,009663703","0,010328445","0,010147133","0,012257906",0,0,0,0,0,0,"0,009934433",0
fadJ,,C flat,0,0,0,"0,010084712","0,011087325",0,"0,010147133",0,"0,0106929",0,0,0,"0,021001785",0,0,0
fadR,,C flat,0,0,"0,011830119",0,"0,009663703",0,0,"0,009833809","0,0106929","0,009623713","0,011574074","0,017830744","0,009859988","0,010373444","0,016055882","0,02136692"
fdhE,,C flat,0,"0,013285506",0,"0,010084712",0,"0,010328445","0,010147133",0,0,"0,009623713","0,011899096",0,"0,010500893",0,"0,012242899",0
fpr,,C flat,0,"0,013285506","0,023660239","0,016626645","0,02217465","0,01155972","0,028404616","0,009833809","0,01584064","0,016524201","0,017686133","0,011724992","0,015430887","0,011139103","0,011088666","0,02293578"
feoA,,C flat,0,0,0,0,0,0,0,0,0,0,0,0,"0,009859988",0,0,0
fepA,,C flat,"0,04983785","0,05500367","0,042867166","0,038295647","0,031838353","0,024350715","0,018257482","0,022091715","0,01584064","0,015479885","0,023635681","0,029555735","0,041042214","0,028230587","0,032111765","0,036999895"
fepB,,C flat,"0,015403574",0,0,0,0,0,0,0,0,0,"0,011899096",0,0,0,"0,009934433","0,00989903"
fhuB,,C flat,0,0,0,0,0,0,0,0,0,"0,009623713",0,0,0,0,0,0
fhuE,,C flat,0,0,0,0,0,0,0,"0,009833809",0,0,0,0,"0,010500893",0,0,0
finO,,C flat,0,0,0,0,0,0,0,0,"0,0106929","0,010668029","0,011899096",0,"0,010500893",0,0,"0,01146789"
flgC,motility,C flat,0,"0,017537706",0,0,"0,009663703",0,"0,010147133",0,"0,0213858",0,"0,023798191",0,0,"0,011904762","0,009934433","0,00989903"
flgF,motility,C flat,0,0,0,0,0,0,0,"0,012257906",0,0,0,"0,012211503",0,0,0,0
flhA,motility,C flat,0,"0,017537706",0,0,0,0,0,0,"0,01049419",0,0,0,0,"0,011904762",0,0
fliE,motility,C flat,0,0,0,0,0,0,"0,010147133","0,009833809",0,0,0,0,0,0,0,"0,00989903"
fliO,motility,C flat,0,0,0,0,0,"0,010328445",0,0,0,"0,009623713","0,011574074",0,"0,009859988",0,0,0
fnr,,C flat,"0,034434276","0,037465964","0,032498794","0,028210935","0,020751028","0,028283662","0,029923007","0,022091715","0,03148257","0,026147914","0,029422718","0,029555735","0,030541321","0,026699269","0,027144548","0,026316435"
folC,,C flat,0,0,0,0,0,0,0,0,0,"0,011712345",0,0,0,0,0,0
folD,amino acid synthesis,C flat,"0,012687135","0,013285506","0,011830119","0,020169423","0,011087325","0,020656889","0,010147133","0,015962762","0,01564193","0,015479885","0,017523622","0,017344232","0,015110434","0,020746888","0,019868865","0,01979806"
frdA,,C flat,0,0,0,"0,01158429","0,033261975","0,038612106","0,041588531","0,047888285","0,02613612","0,029915454","0,035047244","0,034201953","0,020040429","0,010373444","0,009934433","0,01146789"
frdB,,C flat,0,"0,035075412",0,"0,010084712",0,"0,012790995",0,"0,009833809","0,01029548","0,009623713",0,0,0,0,0,0
frlR,,C flat,0,"0,013285506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
frmA,,C flat,"0,038061406",0,0,"0,020169423","0,009663703","0,01155972","0,013183916","0,019667617","0,01029548","0,009623713","0,011736585","0,011724992","0,020681333","0,010373444","0,019868865","0,02969709"
frmR,,C flat,0,0,0,0,0,0,0,0,0,0,0,"0,011238481",0,0,0,0
ftsH,,C flat,"0,187574956","0,196098675","0,149202102","0,215602768","0,185637283","0,174627073","0,196795526","0,169392718","0,162759301","0,190980203","0,211096017","0,174901856","0,208538802","0,233921162","0,213343403","0,232682828"
ftsI,,C flat,0,0,0,0,0,0,0,0,0,0,"0,011574074",0,0,0,0,0
ftsK,,C flat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,009934433",0
ftsY,,C flat,"0,07657034","0,030823212","0,066459335","0,069505738","0,049181152","0,045007604","0,061882798","0,077321002","0,05286837","0,075720518","0,07058202","0,046899968","0,056152648","0,066068959","0,068840462","0,069834704"
fucO,,C flat,0,0,0,"0,01158429","0,012510947",0,"0,020294267","0,009833809",0,0,0,0,0,0,0,0
fur,,C flat,"0,062524985","0,05500367","0,054629216","0,057921448","0,060268477","0,062962821","0,045143707","0,054017239","0,052073531","0,053340144","0,070256998","0,057651937","0,056152648","0,049743134","0,065377762","0,047683355"
gabD,,C flat,0,0,"0,039875601","0,069505738","0,04775753","0,016723942","0,033478182","0,011045857","0,0106929","0,019247426","0,011736585","0,011724992",0,0,0,0
galF,,C flat,0,0,0,0,0,0,0,0,0,0,"0,011574074",0,0,0,0,0
garL,Catabolic,C flat,0,0,0,"0,010084712",0,0,0,0,0,0,0,0,0,0,0,0
garR,,C flat,0,0,0,"0,010084712","0,011087325",0,"0,010147133",0,0,"0,011712345",0,0,0,0,0,0
gatR,,C flat,0,0,0,"0,013083868",0,0,0,0,0,0,0,0,0,0,0,0
gcvH,,C flat,"0,014045354","0,013285506",0,"0,016626645",0,"0,010328445",0,0,"0,01029548","0,019247426","0,011736585","0,012211503","0,01018044","0,020746888","0,039737731","0,01979806"
ggt,,C flat,"0,012687135",0,0,"0,01158429",0,"0,012790995","0,010147133",0,0,0,0,0,0,0,0,0
ghrA,,C flat,"0,014045354","0,017537706","0,013291867","0,018126223","0,02217465","0,010328445","0,029923007","0,015962762","0,02633483","0,021336058","0,011736585","0,017830744","0,020040429","0,016325825","0,028298781","0,03205038"
glcG,,C flat,0,0,"0,014753615","0,016626645","0,02217465","0,012790995","0,011665525","0,017174811","0,01049419",0,"0,011574074",0,"0,010500893",0,0,0
gldA,,C flat,0,0,0,0,0,0,0,0,0,0,0,"0,011238481",0,0,0,0
glgX,,C flat,0,0,0,0,0,0,0,0,0,"0,009623713",0,0,0,0,0,0
glnD,,C flat,0,0,0,0,0,0,0,0,0,0,0,"0,011238481",0,0,"0,009934433",0
glnE,,C flat,"0,012687135",0,"0,011830119","0,010084712","0,009663703","0,01155972","0,011665525",0,"0,01049419",0,"0,011899096",0,"0,01018044","0,010373444","0,009934433","0,00989903"
glnH,Catabolic,C flat,"0,134109977","0,10362904","0,177247584","0,246812859","0,263248559","0,309649885","0,329671469","0,265169289","0,273445072","0,268379629","0,252255319","0,200784396","0,178638385","0,16343114","0,14796564","0,159467469"
glnP,Catabolic,C flat,0,0,0,0,0,0,0,"0,009833809",0,0,0,"0,011238481",0,0,0,0
glpR,,C flat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,01146789"
grxD,,C flat,"0,082913907","0,074931929","0,085666262","0,086132383","0,077611276","0,057798599","0,053254056","0,071192049","0,05247095","0,059196317","0,076369057","0,06986344","0,071263083","0,089112824","0,109732426","0,090417194"
glxK,Catabolic,C flat,0,0,0,0,0,"0,010328445",0,0,0,0,0,0,0,0,0,0
glxR,,C flat,0,0,0,0,0,0,0,"0,009833809",0,0,0,0,0,0,0,0
