,,,downshift,downshift,downshift,downshift,downshift,downshift,downshift,downshift,upshift,upshift,upshift,upshift,upshift,upshift,upshift,upshift
bglA,,C up,"0,020388922","0,044108717","0,032498794","0,023168579","0,015919177","0,028283662","0,021812658","0,028220668","0,02613612","0,021336058","0,017523622","0,011724992","0,025611327","0,021512547","0,038233214","0,03205038"
bglX,,C up,"0,014045354","0,022054359","0,014753615","0,018126223","0,012510947","0,032216609","0,016739091","0,035630379","0,02613612","0,020291742","0,034722222","0,022963472","0,01018044","0,031120332","0,021023099","0,01068346"
btuE,,C up,0,"0,017537706",0,"0,039251603","0,033261975","0,02558199","0,058327623","0,049031625","0,0106929","0,011712345","0,011899096",0,0,"0,023809524",0,0
btuR,,C up,"0,014045354","0,013285506","0,013291867","0,01158429","0,017342799","0,02311944","0,011665525","0,017174811","0,01049419","0,010668029","0,011736585","0,017344232","0,015110434","0,016325825","0,012242899","0,00989903"
katE,,C up,"0,014045354","0,015411606","0,026583734","0,086132383","0,150951686","0,128627315","0,073548323","0,101836815","0,02613612","0,03095977","0,029260207","0,028582713","0,025290875","0,027464928","0,017210115","0,01068346"
groS,,C up,"0,181231388","0,204867528","0,209746378","0,215602768","0,229986583","0,219873798","0,202387486","0,191553142","0,183548972","0,21231626","0,18183581","0,192732599","0,183247927","0,172273266","0,175110189","0,170935358"
groL,,C up,"0,752568734","0,782268599","0,803563222","0,960127745","0,885520071","0,818994921","0,85317526","0,731656819","0,864677779","0,962026371","0,791163159","0,790707186","0,671909065","0,734242245","0,830392329","0,842667407"
cheA,motility,C up,"0,159484247","0,107881241","0,209746378","0,151139386","0,182790039","0,246926185","0,310413989","0,286048955","0,445307595","0,386362538","0,409967917","0,39157095","0,371425847","0,386805967","0,314645913","0,281935042"
cheB,motility,C up,"0,014045354",0,"0,019206927",0,"0,009663703","0,01155972","0,029923007","0,042971381","0,03168128","0,048528288","0,041159302","0,035174976","0,035471315","0,037838372","0,027144548","0,03283481"
cheR,motility,C up,0,"0,013285506",0,"0,010084712","0,012510947",0,0,"0,009833809","0,01584064","0,015479885","0,017686133","0,017344232","0,020360881","0,010373444","0,009934433","0,016417405"
