gene,counts,phase,time,fraction
amiD,820,shift,5.0,0.00018118339714892458
amn,664,shift,5.0,0.00014671436061815355
ampC,20,shift,5.0,4.419107247534746e-06
ampD,390,shift,5.0,8.617259132692754e-05
ampE,483,shift,5.0,0.00010672144002796411
ampG,22,shift,5.0,4.86101797228822e-06
ampH,226,shift,5.0,4.9935911897142624e-05
amtB,144,shift,5.0,3.181757218225017e-05
amyA,5515,shift,5.0,0.0012185688235077062
anmK,723,shift,5.0,0.00015975072699838107
ansA,127,shift,5.0,2.8061331021845637e-05
ansB,382,shift,5.0,8.440494842791364e-05
ansP,78,shift,5.0,1.7234518265385507e-05
apaG,298,shift,5.0,6.584469798826772e-05
apaH,122,shift,5.0,2.695655420996195e-05
aphA,542,shift,5.0,0.0001197578064081916
appA,143,shift,5.0,3.159661681987343e-05
appB,26,shift,5.0,5.744839421795169e-06
appC,41,shift,5.0,9.05916985744623e-06
appX,24,shift,5.0,5.302928697041695e-06
appY,12,shift,5.0,2.6514643485208475e-06
apt,49,shift,5.0,1.0826812756460126e-05
aqpZ,248,shift,5.0,5.4796929869430846e-05
araA,190,shift,5.0,4.1981518851580085e-05
araB,66,shift,5.0,1.4583053916864662e-05
araC,1788,shift,5.0,0.0003950681879296063
araD,25,shift,5.0,5.523884059418432e-06
araE,227,shift,5.0,5.0156867259519366e-05
araF,1341,shift,5.0,0.0002963011409472047
araG,960,shift,5.0,0.0002121171478816678
araH,763,shift,5.0,0.00016858894149345056
araJ,155,shift,5.0,3.424808116839428e-05
arcA,17846,shift,5.0,0.003943169396975254
arcB,1249,shift,5.0,0.0002759732476085449
arfA,321,shift,5.0,7.092667132293267e-05
arfB,96,shift,5.0,2.121171478816678e-05
argA,156,shift,5.0,3.4469036530771014e-05
argB,213,shift,5.0,4.706349218624504e-05
argC,18,shift,5.0,3.9771965227812715e-06
argD,79,shift,5.0,1.7455473627762245e-05
argE,814,shift,5.0,0.00017985766497466416
argF,0,shift,5.0,0.0
argG,610,shift,5.0,0.00013478277104980976
argH,402,shift,5.0,8.882405567544838e-05
argI,1269,shift,5.0,0.0002803923548560796
argK,17,shift,5.0,3.756241160404534e-06
argO,172,shift,5.0,3.8004322328798815e-05
argP,460,shift,5.0,0.00010163946669329915
argR,374,shift,5.0,8.263730552889975e-05
argS,446,shift,5.0,9.854609162002483e-05
argT,12194,shift,5.0,0.0026943296888219345
ariR,7,shift,5.0,1.546687536637161e-06
arnA,914,shift,5.0,0.00020195320121233788
arnB,2401,shift,5.0,0.0005305138250665463
arnC,587,shift,5.0,0.0001297007977151448
arnD,321,shift,5.0,7.092667132293267e-05
arnE,49,shift,5.0,1.0826812756460126e-05
arnF,17,shift,5.0,3.756241160404534e-06
arnT,192,shift,5.0,4.242342957633356e-05
aroA,219,shift,5.0,4.838922436050547e-05
aroB,1250,shift,5.0,0.0002761942029709216
aroC,582,shift,5.0,0.0001285960209032611
aroD,177,shift,5.0,3.91090991406825e-05
aroE,266,shift,5.0,5.8774126392212116e-05
aroF,7224,shift,5.0,0.0015961815378095503
aroG,441,shift,5.0,9.744131480814115e-05
aroH,53,shift,5.0,1.1710634205967077e-05
aroK,517,shift,5.0,0.00011423392234877318
aroL,937,shift,5.0,0.00020703517454700283
aroM,294,shift,5.0,6.496087653876077e-05
aroP,2791,shift,5.0,0.0006166864163934738
arpA,4,shift,5.0,8.838214495069491e-07
arpB_1,1,shift,5.0,2.2095536237673728e-07
arpB_2,1,shift,5.0,2.2095536237673728e-07
arsB,33,shift,5.0,7.291526958432331e-06
arsC,62,shift,5.0,1.3699232467357712e-05
arsR,16,shift,5.0,3.5352857980277964e-06
artI,282,shift,5.0,6.230941219023991e-05
artJ,31,shift,5.0,6.849616233678856e-06
artM,137,shift,5.0,3.027088464561301e-05
artP,417,shift,5.0,9.213838611109945e-05
artQ,54,shift,5.0,1.1931589568343813e-05
ascB,182,shift,5.0,4.021387595256619e-05
ascF,126,shift,5.0,2.78403756594689e-05
ascG,240,shift,5.0,5.302928697041695e-05
asd,2465,shift,5.0,0.0005446549682586574
aslA,87,shift,5.0,1.9223116526776145e-05
aslB,45,shift,5.0,9.942991306953178e-06
asmA,1394,shift,5.0,0.00030801177515317176
asnA,80,shift,5.0,1.7676428990138983e-05
asnB,683,shift,5.0,0.00015091251250331158
asnC,35,shift,5.0,7.733437683185805e-06
asnS,928,shift,5.0,0.0002050465762856122
aspA,7629,shift,5.0,0.0016856684595721288
aspC,1787,shift,5.0,0.00039484723256722956
aspS,1754,shift,5.0,0.0003875557056087972
asr,32,shift,5.0,7.070571596055593e-06
astA,1981,shift,5.0,0.00043771257286831657
astB,1195,shift,5.0,0.00026404165804020107
astC,4475,shift,5.0,0.0009887752466358993
astD,1667,shift,5.0,0.0003683325890820211
astE,862,shift,5.0,0.00019046352236874755
atl,203,shift,5.0,4.485393856247767e-05
atoA,5,shift,5.0,1.1047768118836864e-06
atoB,30,shift,5.0,6.628660871302119e-06
atoC,289,shift,5.0,6.385609972687707e-05
atoD,4,shift,5.0,8.838214495069491e-07
atoE,8,shift,5.0,1.7676428990138982e-06
atoS,269,shift,5.0,5.943699247934233e-05
atpA,1767,shift,5.0,0.0003904281253196948
atpB,1954,shift,5.0,0.00043174677808414464
atpC,1148,shift,5.0,0.0002536567560084944
atpD,1079,shift,5.0,0.00023841083600449953
atpE,1680,shift,5.0,0.00037120500879291864
atpF,1440,shift,5.0,0.0003181757218225017
atpG,524,shift,5.0,0.00011578060988541034
atpH,517,shift,5.0,0.00011423392234877318
atpI,776,shift,5.0,0.00017146136120434815
avtA,625,shift,5.0,0.0001380971014854608
azoR,437,shift,5.0,9.65574933586342e-05
azuC,16,shift,5.0,3.5352857980277964e-06
bacA,218,shift,5.0,4.816826899812873e-05
baeR,132,shift,5.0,2.9166107833729323e-05
baeS,40,shift,5.0,8.838214495069492e-06
bamA,2397,shift,5.0,0.0005296300036170393
bamB,823,shift,5.0,0.0001818462632360548
bamC,1226,shift,5.0,0.0002708912742738799
bamD,981,shift,5.0,0.00021675721049157928
bamE,2680,shift,5.0,0.000592160371169656
barA,156,shift,5.0,3.4469036530771014e-05
basR,439,shift,5.0,9.699940408338767e-05
basS,267,shift,5.0,5.899508175458886e-05
bax,4920,shift,5.0,0.0010871003828935475
bcp,648,shift,5.0,0.00014317907482012577
bcr,103,shift,5.0,2.275840232480394e-05
bcsA,189,shift,5.0,4.176056348920335e-05
bcsB,250,shift,5.0,5.523884059418432e-05
bcsC,909,shift,5.0,0.0002008484244004542
bcsE,970,shift,5.0,0.00021432670150543518
bcsF,28,shift,5.0,6.186750146548644e-06
bcsG,174,shift,5.0,3.844623305355229e-05
bcsQ,291,shift,5.0,6.429801045163055e-05
bcsZ,76,shift,5.0,1.6792607540632035e-05
bdcA,29,shift,5.0,6.4077055089253815e-06
bdcR,108,shift,5.0,2.3863179136687626e-05
bdm,74,shift,5.0,1.635069681587856e-05
bepA,613,shift,5.0,0.00013544563713693996
betA,171,shift,5.0,3.7783366966422074e-05
betB,317,shift,5.0,7.004284987342572e-05
betI,289,shift,5.0,6.385609972687707e-05
betT,319,shift,5.0,7.048476059817919e-05
bfd,66,shift,5.0,1.4583053916864662e-05
bfr,5167,shift,5.0,0.0011416763574006016
bglA,762,shift,5.0,0.00016836798613107382
bglB,20,shift,5.0,4.419107247534746e-06
bglF,13,shift,5.0,2.8724197108975847e-06
bglG,17,shift,5.0,3.756241160404534e-06
bglH,36,shift,5.0,7.954393045562543e-06
bglJ,25,shift,5.0,5.523884059418432e-06
bglX,684,shift,5.0,0.0001511334678656883
bhsA,19,shift,5.0,4.198151885158009e-06
bioA,73,shift,5.0,1.612974145350182e-05
bioB,271,shift,5.0,5.98789032040958e-05
bioC,38,shift,5.0,8.396303770316017e-06
bioD,25,shift,5.0,5.523884059418432e-06
