time_from_shift_hr,instant_growth_rate_hr,source,notes
-3.904074490498230,0.7605975842339480,"Panlilio et al., 2021",Data digitized from Fig. 2A
-3.755412557640210,0.7612511125238400,"Panlilio et al., 2021",Data digitized from Fig. 2A
-3.606782130966950,0.7632116973935160,"Panlilio et al., 2021",Data digitized from Fig. 2A
-3.4581123215627300,0.7635384615384620,"Panlilio et al., 2021",Data digitized from Fig. 2A
-3.3094346356123200,0.7635384615384620,"Panlilio et al., 2021",Data digitized from Fig. 2A
-3.160756949661910,0.7635384615384620,"Panlilio et al., 2021",Data digitized from Fig. 2A
-3.012236794635370,0.7700737444373810,"Panlilio et al., 2021",Data digitized from Fig. 2A
-2.863732392701210,0.7772625556261920,"Panlilio et al., 2021",Data digitized from Fig. 2A
-2.7152122376746700,0.7837978385251110,"Panlilio et al., 2021",Data digitized from Fig. 2A
-2.566503045539480,0.7824907819453270,"Panlilio et al., 2021",Data digitized from Fig. 2A
-2.417715087942360,0.7779160839160840,"Panlilio et al., 2021",Data digitized from Fig. 2A
-2.268966513076210,0.7749752066115700,"Panlilio et al., 2021",Data digitized from Fig. 2A
-2.120280950579600,0.7746484424666240,"Panlilio et al., 2021",Data digitized from Fig. 2A
-1.971682030091120,0.7779160839160840,"Panlilio et al., 2021",Data digitized from Fig. 2A
-1.8229019490401900,0.7736681500317860,"Panlilio et al., 2021",Data digitized from Fig. 2A
-1.6741533741740400,0.7707272727272730,"Panlilio et al., 2021",Data digitized from Fig. 2A
-1.5254756882236200,0.7707272727272730,"Panlilio et al., 2021",Data digitized from Fig. 2A
-1.3767980022732100,0.7707272727272730,"Panlilio et al., 2021",Data digitized from Fig. 2A
-1.2281203163228000,0.7707272727272730,"Panlilio et al., 2021",Data digitized from Fig. 2A
-1.0795765316576700,0.7762822631913540,"Panlilio et al., 2021",Data digitized from Fig. 2A
-0.9309933642615840,0.7802034329307060,"Panlilio et al., 2021",Data digitized from Fig. 2A
-0.7822841721263960,0.7788963763509220,"Panlilio et al., 2021",Data digitized from Fig. 2A
-0.6335749799912090,0.7775893197711380,"Panlilio et al., 2021",Data digitized from Fig. 2A
-0.4848106520326650,0.7739949141767320,"Panlilio et al., 2021",Data digitized from Fig. 2A
-0.3361802253594140,0.7759554990464080,"Panlilio et al., 2021",Data digitized from Fig. 2A
-0.18759705796332300,0.7798766687857600,"Panlilio et al., 2021",Data digitized from Fig. 2A
-0.03917929803729960,0.7906598855689770,"Panlilio et al., 2021",Data digitized from Fig. 2A
0.10863984437801100,0.8262771773680860,"Panlilio et al., 2021",Data digitized from Fig. 2A
0.2564038509699660,0.8641818181818180,"Panlilio et al., 2021",Data digitized from Fig. 2A
0.4045459317792140,0.8864017800381440,"Panlilio et al., 2021",Data digitized from Fig. 2A
0.5531606053600800,0.8890158931977120,"Panlilio et al., 2021",Data digitized from Fig. 2A
0.702074587696301,0.8792129688493330,"Panlilio et al., 2021",Data digitized from Fig. 2A
0.8506104958152290,0.8850947234583600,"Panlilio et al., 2021",Data digitized from Fig. 2A
0.9984453913229270,0.9200584869675780,"Panlilio et al., 2021",Data digitized from Fig. 2A
1.1459022126133300,0.9707069294342020,"Panlilio et al., 2021",Data digitized from Fig. 2A
1.2931778733412800,1.0288709472345800,"Panlilio et al., 2021",Data digitized from Fig. 2A
1.440721336639820,1.0759249841068000,"Panlilio et al., 2021",Data digitized from Fig. 2A
1.588493219777970,1.1135028607755900,"Panlilio et al., 2021",Data digitized from Fig. 2A
1.7363832511090200,1.1461792752701800,"Panlilio et al., 2021",Data digitized from Fig. 2A
1.8843284182634300,1.1765683407501600,"Panlilio et al., 2021",Data digitized from Fig. 2A
2.0323444743335800,1.20401652892562,"Panlilio et al., 2021",Data digitized from Fig. 2A
2.1805180613276000,1.2249294342021600,"Panlilio et al., 2021",Data digitized from Fig. 2A
