elongation_rate_hr,growth_rate_hr,organism,,,,
1.4761446315556900,0.4204794747557550,Escherichia coli,,,,
2.4499297675226100,0.6902984485724500,Escherichia coli,,,,
3.455280061867710,1.0434178753491700,Escherichia coli,,,,
4.55130127365414,1.3808178532535500,Escherichia coli,,,,
5.692934139297040,1.7285869856851600,Escherichia coli,,,,
0.21322264484462200,0.06762835182525470,Streptomyces coelicolor,,,,
0.3503732579978240,0.11956881993655300,Streptomyces coelicolor,,,,
0.4874449582550800,0.16630103691545000,Streptomyces coelicolor,,,,
0.6245166585123360,0.21303325389434800,Streptomyces coelicolor,,,,
0.7918119979167010,0.254525654582467,Streptomyces coelicolor,,,,
0.9439560612995390,0.2960338378497750,Streptomyces coelicolor,,,,
