,lam_0,lam_1,lam_sat,lam0_lamsat,lam1_lam0
0,0.45,0.422377622377622,0.55,0.8181818181818181,0.9386169386169377
1,0.45,0.525982773931312,0.73,0.6164383561643836,1.168850608736249
2,0.45,0.460226054195044,0.75,0.6,1.0227245648778756
3,0.45,0.612587412587413,0.86,0.5232558139534884,1.3613053613053623
4,0.6,0.6422731764643035,0.7,0.8571428571428572,1.0704552941071726
5,0.6,0.6245098039215691,0.76,0.7894736842105263,1.0408496732026151
6,0.6,0.6824858757062144,0.85,0.7058823529411765,1.1374764595103575
7,0.6,0.611111111111111,1.02,0.5882352941176471,1.0185185185185184
