time_hr,flow_ml_min,line,source,notes
12.7884534251138,3.2086488286888000,Dash-dot-dot-dot,"Phillips & Giller, 1973",Digitized from Fig. X
13.7349172865549,3.560008881980680,Dash-dot-dot-dot,"Phillips & Giller, 1973",Digitized from Fig. X
15.693394026868000,1.9990562895525700,Dash-dot-dot-dot,"Phillips & Giller, 1973",Digitized from Fig. X
17.683845897635200,1.041190185411350,Dash-dot-dot-dot,"Phillips & Giller, 1973",Digitized from Fig. X
18.918618852004,0.9970467414233380,Dash-dot-dot-dot,"Phillips & Giller, 1973",Digitized from Fig. X
19.97752858887530,1.1359276118574400,Dash-dot-dot-dot,"Phillips & Giller, 1973",Digitized from Fig. X
21.0220495170423,1.003419562562450,Dash-dot-dot-dot,"Phillips & Giller, 1973",Digitized from Fig. X
21.649827911624300,1.1773509492616900,Dash-dot-dot-dot,"Phillips & Giller, 1973",Digitized from Fig. X
21.875252581325600,1.9291106916842500,Dash-dot-dot-dot,"Phillips & Giller, 1973",Digitized from Fig. X
22.466259575885400,1.4094926168535600,Dash-dot-dot-dot,"Phillips & Giller, 1973",Digitized from Fig. X
23.677051182413700,0.913034306650383,Dash-dot-dot-dot,"Phillips & Giller, 1973",Digitized from Fig. X
