time_from_meal,concentration,source,notes
3.9844357976653700,0.965986394557822,"Stephen et al., 1983",Digitized from Fig. 4
4.046692607003890,0.8571428571428580,"Stephen et al., 1983",Digitized from Fig. 4
4.1400778210116700,0.8571428571428580,"Stephen et al., 1983",Digitized from Fig. 4
4.233463035019460,0.8571428571428580,"Stephen et al., 1983",Digitized from Fig. 4
4.326848249027240,0.9115646258503410,"Stephen et al., 1983",Digitized from Fig. 4
4.451361867704280,0.9115646258503410,"Stephen et al., 1983",Digitized from Fig. 4
4.544747081712060,0.9115646258503410,"Stephen et al., 1983",Digitized from Fig. 4
4.607003891050580,0.8027210884353750,"Stephen et al., 1983",Digitized from Fig. 4
4.700389105058360,0.6938775510204090,"Stephen et al., 1983",Digitized from Fig. 4
4.793774319066150,0.6394557823129250,"Stephen et al., 1983",Digitized from Fig. 4
4.8871595330739300,0.7482993197278920,"Stephen et al., 1983",Digitized from Fig. 4
5.011673151750970,0.8027210884353750,"Stephen et al., 1983",Digitized from Fig. 4
5.105058365758760,0.8571428571428580,"Stephen et al., 1983",Digitized from Fig. 4
5.229571984435800,0.8571428571428580,"Stephen et al., 1983",Digitized from Fig. 4
5.3229571984435800,0.8571428571428580,"Stephen et al., 1983",Digitized from Fig. 4
5.416342412451360,0.8027210884353750,"Stephen et al., 1983",Digitized from Fig. 4
5.509727626459140,0.7482993197278920,"Stephen et al., 1983",Digitized from Fig. 4
5.603112840466930,0.6394557823129250,"Stephen et al., 1983",Digitized from Fig. 4
5.727626459143970,0.5306122448979590,"Stephen et al., 1983",Digitized from Fig. 4
5.852140077821010,0.4761904761904760,"Stephen et al., 1983",Digitized from Fig. 4
5.976653696498050,0.36734693877551000,"Stephen et al., 1983",Digitized from Fig. 4
6.101167315175100,0.3129251700680270,"Stephen et al., 1983",Digitized from Fig. 4
6.194552529182880,0.204081632653061,"Stephen et al., 1983",Digitized from Fig. 4
6.319066147859920,0.14965986394557800,"Stephen et al., 1983",Digitized from Fig. 4
6.443579766536960,0.14965986394557800,"Stephen et al., 1983",Digitized from Fig. 4
6.568093385214010,0.14965986394557800,"Stephen et al., 1983",Digitized from Fig. 4
6.692607003891050,0.0952380952380949,"Stephen et al., 1983",Digitized from Fig. 4
6.817120622568090,0.0952380952380949,"Stephen et al., 1983",Digitized from Fig. 4
6.910505836575880,0.0952380952380949,"Stephen et al., 1983",Digitized from Fig. 4
7.035019455252920,0.0952380952380949,"Stephen et al., 1983",Digitized from Fig. 4
7.159533073929960,0.0952380952380949,"Stephen et al., 1983",Digitized from Fig. 4
7.284046692607000,0.0952380952380949,"Stephen et al., 1983",Digitized from Fig. 4
7.3774319066147900,0.0952380952380949,"Stephen et al., 1983",Digitized from Fig. 4
