lam0_lamsat,lam1_lam0,experiment,source,notes
0.08461538461538460,3.3039303039303000,Chemostat,,
0.12615384615384600,2.7589941589941600,Chemostat,,
0.2538461538461540,1.8422928422928400,Chemostat,,
0.40461538461538500,1.6434412434412400,Chemostat,,
0.3030769230769230,1.6215820215820200,Batch,,
0.3138461538461540,1.7488565488565500,Batch,,
0.416923076923077,1.7127809127809100,Batch,,
0.4676923076923080,1.4341352341352300,Batch,,
0.49692307692307700,1.746500346500350,Batch,,
0.5123076923076920,1.4451440451440400,Batch,,
0.5353846153846150,1.4332640332640300,Batch,,
0.5784615384615380,1.4674586674586700,Batch,,
1.0215384615384600,0.9868527868527860,Batch,"Malløe and Kjelgaard, 1966 and Sloan 1976",
0.19846153846153800,2.5495693495693500,Batch,"Malløe and Kjelgaard, 1966 and Sloan 1976",
0.2507692307692310,1.9929115929115900,Batch,"Malløe and Kjelgaard, 1966 and Sloan 1976",
0.3153846153846150,1.841500841500840,Batch,"Malløe and Kjelgaard, 1966 and Sloan 1976",
0.49846153846153800,1.4337392337392300,Batch,"Malløe and Kjelgaard, 1966 and Sloan 1976",
0.5415384615384620,1.491099891099890,Batch,"Malløe and Kjelgaard, 1966 and Sloan 1976",
