gr_time_hr,instant_growth_rate,source,notes,type,od_time_hr,od_600nm
-1.992125984251970,0.44303797468354400,"Erickson et al., 2017",Digitized from Fig. 1A and B,upshift,-1.9961389961390000,0.04019573004859740
-1.8188976377952700,0.4455696202531650,"Erickson et al., 2017",Digitized from Fig. 1A and B,upshift,-1.84942084942085,0.04262055251613060
-1.677165354330710,0.4531645569620250,"Erickson et al., 2017",Digitized from Fig. 1A and B,upshift,-1.6949806949807000,0.04608270335060920
-1.5218722659667500,0.46251758087201100,"Erickson et al., 2017",Digitized from Fig. 1A and B,upshift,-1.5250965250965300,0.04934202418787800
-1.3687664041994700,0.47658227848101300,"Erickson et al., 2017",Digitized from Fig. 1A and B,upshift,-1.3861003861003900,0.05283186909487050
-1.2265966754155700,0.45900140646976100,"Erickson et al., 2017",Digitized from Fig. 1A and B,upshift,-1.231660231660230,0.05656854249492380
-1.0625546806649200,0.4519690576652600,"Erickson et al., 2017",Digitized from Fig. 1A and B,upshift,-1.0772200772200800,0.060569501984753600
-0.9094488188976380,0.4607594936708860,"Erickson et al., 2017",Digitized from Fig. 1A and B,upshift,-0.9227799227799230,0.06548968108757270
-0.7563429571303580,0.45372714486638500,"Erickson et al., 2017",Digitized from Fig. 1A and B,upshift,-0.7606177606177610,0.07046473431458010
-0.5813648293963250,0.46779184247538700,"Erickson et al., 2017",Digitized from Fig. 1A and B,upshift,-0.5984555984555990,0.07656153305068850
-0.417322834645669,0.44493670886076000,"Erickson et al., 2017",Digitized from Fig. 1A and B,upshift,-0.4208494208494210,0.08197654957232780
-0.24234470691163500,0.45548523206751100,"Erickson et al., 2017",Digitized from Fig. 1A and B,upshift,-0.25096525096525100,0.08863566501673930
-0.07830271216097900,0.44669479606188500,"Erickson et al., 2017",Digitized from Fig. 1A and B,upshift,-0.08108108108108160,0.09583571343202290
0.10761154855643100,0.48185654008438800,"Erickson et al., 2017",Digitized from Fig. 1A and B,upshift,0.11196911196911200,0.10463720054886900
0.2825896762904640,0.6154711673699020,"Erickson et al., 2017",Digitized from Fig. 1A and B,upshift,0.2741312741312740,0.11480604961281000
0.44663167104112000,0.6453586497890300,"Erickson et al., 2017",Digitized from Fig. 1A and B,upshift,0.4440154440154440,0.12844675974766400
0.610,0.7016174402250350,"Erickson et al., 2017",Digitized from Fig. 1A and B,upshift,0.621621621621621,0.14511803587328000
0.7856517935258090,0.7156821378340370,"Erickson et al., 2017",Digitized from Fig. 1A and B,upshift,0.7837837837837840,0.16395309914465600
0.9606299212598440,0.7350210970464140,"Erickson et al., 2017",Digitized from Fig. 1A and B,upshift,0.9613899613899620,0.18613918095563600
1.135608048993880,0.7947960618846700,"Erickson et al., 2017",Digitized from Fig. 1A and B,upshift,1.1389961389961400,0.21340069324610500
1.2996500437445300,0.7649085794655420,"Erickson et al., 2017",Digitized from Fig. 1A and B,upshift,1.3088803088803100,0.24465486333461300
1.4746281714785700,0.8352320675105490,"Erickson et al., 2017",Digitized from Fig. 1A and B,upshift,1.4787644787644800,0.2818589372583200
1.6496062992126000,0.8158931082981720,"Erickson et al., 2017",Digitized from Fig. 1A and B,upshift,1.6563706563706600,0.32630948401023400
1.8245844269466300,0.829957805907173,"Erickson et al., 2017",Digitized from Fig. 1A and B,upshift,1.826254826254830,0.375930578803349
1.999562554680670,0.8405063291139240,"Erickson et al., 2017",Digitized from Fig. 1A and B,upshift,2.0038610038610000,0.4352166881285160
2.1854768153980800,0.8176511954992970,"Erickson et al., 2017",Digitized from Fig. 1A and B,upshift,2.1814671814671800,0.5038525097598860
2.3385826771653500,0.8246835443037980,"Erickson et al., 2017",Digitized from Fig. 1A and B,upshift,2.359073359073360,0.5833125395145020
