growth_rate_hr,ppGpp_pmol_OD,source,notes,relative_ppGpp,,
0.318,18.437,"Hernandez et al., 1997","Digitized from figure 8, ignoring closed glyphs",1.620,,
0.458,18.256,"Hernandez et al., 1997","Digitized from figure 8, ignoring closed glyphs",1.604,,
0.598,13.918,"Hernandez et al., 1997","Digitized from figure 8, ignoring closed glyphs",1.223,,
0.726,12.871,"Hernandez et al., 1997","Digitized from figure 8, ignoring closed glyphs",1.131,,
0.901,11.379,"Hernandez et al., 1997","Digitized from figure 8, ignoring closed glyphs",1.000,,
0.739,8.452,"Hernandez et al., 1997","Digitized from figure 8, ignoring closed glyphs",0.743,,
1.294,3.583,"Hernandez et al., 1997","Digitized from figure 8, ignoring closed glyphs",0.315,,
1.340,4.063,"Hernandez et al., 1997","Digitized from figure 8, ignoring closed glyphs",0.357,,
1.479,4.456,"Hernandez et al., 1997","Digitized from figure 8, ignoring closed glyphs",0.392,,
0.368,81.219,"Hernandez et al., 1997","Digitized from figure 3, using all glyphs",7.138,,
0.396,63.233,"Hernandez et al., 1997","Digitized from figure 3, using all glyphs",5.557,,
0.396,61.043,"Hernandez et al., 1997","Digitized from figure 3, using all glyphs",5.365,,
0.396,58.196,"Hernandez et al., 1997","Digitized from figure 3, using all glyphs",5.114,,
0.506,58.081,"Hernandez et al., 1997","Digitized from figure 3, using all glyphs",5.104,,
0.507,54.795,"Hernandez et al., 1997","Digitized from figure 3, using all glyphs",4.815,,
0.507,42.752,"Hernandez et al., 1997","Digitized from figure 3, using all glyphs",3.757,,
0.590,36.751,"Hernandez et al., 1997","Digitized from figure 3, using all glyphs",3.230,,
0.590,31.496,"Hernandez et al., 1997","Digitized from figure 3, using all glyphs",2.768,,
0.590,30.401,"Hernandez et al., 1997","Digitized from figure 3, using all glyphs",2.672,,
0.631,19.847,"Hernandez et al., 1997","Digitized from figure 3, using all glyphs",1.744,,
0.631,17.439,"Hernandez et al., 1997","Digitized from figure 3, using all glyphs",1.533,,
0.631,12.621,"Hernandez et al., 1997","Digitized from figure 3, using all glyphs",1.109,,
0.658,11.060,"Hernandez et al., 1997","Digitized from figure 3, using all glyphs",0.972,,
0.658,9.965,"Hernandez et al., 1997","Digitized from figure 3, using all glyphs",0.876,,
0.659,8.211,"Hernandez et al., 1997","Digitized from figure 3, using all glyphs",0.722,,
